,Release_Date,Title,Production_Budget,Domestic_Gross,Worldwide_Gross
372,12/25/2003,Peter Pan,100000000,48417850,95255485
373,7/23/2004,Catwoman,100000000,40202379,82145379
374,8/15/2014,The Expendables 3,100000000,39322544,209461378
375,11/27/2002,Treasure Planet,100000000,38120554,91800000
376,3/12/2010,Green Zone,100000000,35497337,97523020
377,10/20/2017,Geostorm,100000000,33700160,220800160
378,12/25/2015,Point Break,100000000,28782481,128170295
379,12/11/2015,In the Heart of the Sea,100000000,25020758,90420758
380,4/18/2014,Transcendence,100000000,23022309,103039258
381,2/18/2005,Son of the Mask,100000000,17018422,59918422
382,8/16/2002,The Adventures of Pluto Nash,100000000,4411102,7094995
383,1/20/2012,Jin lÃ­ng shÃ­ san chai,100000000,311434,98227017
384,3/15/2019,Wonder Park,100000000,0,0
385,11/6/2015,The Peanuts Movie,99000000,130178411,250474038
386,5/4/2001,The Mummy Returns,98000000,202007640,435040395
387,12/20/2002,Gangs of New York,97000000,77730500,183124621
388,5/19/2017,Alien: Covenant,97000000,74262031,238862031
389,3/13/2015,Cinderella,95000000,201151353,534551353
390,7/13/2012,Ice Age: Continental Drift,95000000,161321843,879765137
391,12/28/2001,Black Hawk Down,95000000,108638745,159691085
392,5/27/2010,Sex and the City 2,95000000,95347692,294680778
393,2/12/2010,Percy Jackson & the Olympians: The Lightning Thief,95000000,88768303,223050874
394,8/10/2012,The Campaign,95000000,86907746,104907746
395,11/12/2010,Unstoppable,95000000,81562942,165720921
396,5/9/1997,The Fifth Element,95000000,63570862,263898761
397,3/31/2000,The Road to El Dorado,95000000,50802661,65700000
398,12/11/2009,The Lovely Bones,95000000,44114232,94894448
399,8/19/2016,Ben-Hur,95000000,26410477,91853336
400,2/6/2015,Seventh Son,95000000,17725785,111125785
401,5/30/2003,Finding Nemo,94000000,380529370,936429370
402,12/17/2003,The Lord of the Rings: The Return of the King,94000000,377845905,1141403341
403,12/18/2002,The Lord of the Rings: The Two Towers,94000000,342548984,934699645
404,6/15/2001,Lara Croft: Tomb Raider,94000000,131144183,273330185
405,2/13/2015,Kingsman: The Secret Service,94000000,128261724,404561724
406,7/18/2001,Jurassic Park III,93000000,181166115,365900000
407,8/5/2011,Rise of the Planet of the Apes,93000000,176760185,482860185
408,2/14/2008,The Spiderwick Chronicles,92500000,71195053,162839667
409,11/5/2004,The Incredibles,92000000,261441092,614726752
410,2/14/2013,A Good Day to Die Hard,92000000,67349198,304249198
411,4/9/2004,The Alamo,92000000,22406362,23911362
412,12/22/1995,Cutthroat Island,92000000,10017322,18517322
413,12/25/2013,The Secret Life of Walter Mitty,91000000,58236838,188275200
414,12/20/2017,Jumanji: Welcome to the Jungle,90000000,404508916,962148204
415,7/1/1997,Men in Black,90000000,250690539,587790539
416,11/19/1999,Toy Story 2,90000000,245852179,511358276
417,8/3/2001,Rush Hour 2,90000000,226164286,347425832
418,12/25/2009,Sherlock Holmes,90000000,209028679,498438212
419,7/1/2009,Ice Age: Dawn of the Dinosaurs,90000000,196573705,859701857
420,7/21/2000,What Lies Beneath,90000000,155464351,288693989
421,4/15/2011,Rio,90000000,143619809,487519809
422,10/6/2006,The Departed,90000000,132384315,289660619
423,11/3/2000,Charlie's Angels,90000000,125305545,259736090
424,6/19/1998,Mulan,90000000,120620254,303500000
425,8/13/2008,Tropic Thunder,90000000,110515313,191145256
426,12/20/2011,The Girl with the Dragon Tattoo,90000000,102515793,239373970
427,7/11/1997,Contact,90000000,100920329,165900000
428,6/6/2008,You Don't Mess With the Zohan,90000000,100018837,202910991
429,5/19/1995,Die Hard: With a Vengeance,90000000,100012499,366101666
430,9/23/2016,The Magnificent Seven,90000000,93432655,162526238
431,12/18/2015,Alvin and the Chipmunks: The Road Chip,90000000,85886987,249520430
432,6/8/2001,Atlantis: The Lost Empire,90000000,84052762,186049020
433,12/25/2008,Valkyrie,90000000,83107829,203932174
434,7/24/2015,Pixels,90000000,78765986,244144701
435,6/29/2001,Artificial Intelligence: AI,90000000,78616689,235900000
436,11/26/2003,The Haunted Mansion,90000000,75817994,155750628
437,8/4/2000,Hollow Man,90000000,73209340,191200000
438,4/22/2005,The Interpreter,90000000,72708161,162753837
439,8/7/2013,Percy Jackson: Sea of Monsters,90000000,68559554,200859554
440,7/25/2003,Lara Croft: Tomb Raider: The Cradle of Life,90000000,65653758,157092943
441,6/10/2016,Now You See Me 2,90000000,65075540,328675540
442,11/21/2001,Spy Game,90000000,62362560,143049560
443,4/4/1997,The Saint,90000000,61363304,169400000
444,3/10/2000,Mission to Mars,90000000,60874615,106000000
445,12/17/1999,Bicentennial Man,90000000,58220776,87420776
446,3/16/2018,Tomb Raider,90000000,57421715,272648985
447,7/7/2004,King Arthur,90000000,51877963,203877963
448,4/25/1997,Volcano,90000000,47546796,120100000
449,3/26/1997,The Devil's Own,90000000,42885593,140900000
450,7/19/2002,K-19: The Widowmaker,90000000,35168966,65716126
451,8/19/2011,Conan the Barbarian,90000000,21295021,63356133
452,10/21/2011,The Three Musketeers,90000000,20377913,139877913
