,Release_Date,Title,Production_Budget,Domestic_Gross,Worldwide_Gross
0,12/7/2001,The Business of Strangers,6000000,1030920,1290920
1,4/29/2011,JÃ»san-nin no shikaku,6000000,802778,18727440
2,8/30/1991,Beastmaster 2: Through the Portal of Time,6000000,773490,773490
3,6/18/1969,The Wild Bunch,6000000,509424,509424
4,3/25/2011,The 5th Quarter,6000000,408159,408159
5,2/2/1979,The First Great Train Robbery,6000000,391942,391942
6,12/20/2002,Morvern Callar,6000000,267194,267194
7,10/10/2003,The Flower of Evil,6000000,181798,181798
8,3/4/2011,Akmareul Boatda,6000000,129210,13168809
9,11/10/2006,Come Early Morning,6000000,119452,119452
10,4/2/2010,The Greatest,6000000,115862,117796
11,12/7/2012,Deadfall,6000000,66351,1673635
12,5/8/2009,Julia,6000000,65108,1365108
13,4/5/2002,Lucky Break,6000000,54606,4316497
14,9/5/2008,"Surfer, Dude",6000000,36497,36497
15,1/23/2015,Song One,6000000,32251,437089
16,10/3/2007,Lake of Fire,6000000,25317,26007
17,4/2/2010,Don McKay,6000000,13722,13722
18,8/12/2005,11:14,6000000,0,0
19,2/9/2010,Icarus,6000000,0,0
20,12/31/1995,Men of War,6000000,0,0
21,3/15/2011,A Shine of Rainbows,6000000,0,0
22,12/31/2011,Freaky Deaky,6000000,0,0
23,5/10/2011,The Hit List,6000000,0,0
24,2/4/1983,Videodrome,5952000,2120439,2120439
25,8/2/1996,Emma,5900000,22231658,37831658
26,3/21/2003,L\'auberge espagnole,5900000,3895664,3895664
27,2/8/1968,Planet of the Apes,5800000,33395426,33395426
28,3/7/1965,The Train,5800000,6800000,6800000
29,3/18/2011,Winter in Wartime,5800000,542860,9662214
30,10/3/2003,Foolproof,5800000,230312,421021
31,10/5/2012,Trade of Innocents,5800000,15091,15091
32,9/8/2006,Tom yum goong,5700000,12044087,43044087
33,8/27/1999,Stiff Upper Lips,5700000,69582,69582
34,9/7/2012,The Inbetweeners,5700000,35955,86051320
35,7/16/2010,Valhalla Rising,5700000,30638,731613
36,3/12/2003,Bend it Like Beckham,5600000,32543449,74566042
37,9/1/2006,Crossover,5600000,7009668,7009668
38,6/21/2002,Sunshine State,5600000,3064356,3281898
39,7/16/2010,Standing Ovation,5600000,531806,531806
40,12/7/2012,Khiladi 786,5600000,385422,14683763
41,7/9/2010,[Rec] 2,5600000,27766,18527766
42,12/25/1973,The Sting,5500000,159616327,159616327
43,9/25/1981,Chariots of Fire,5500000,61558162,61865947
44,2/25/2005,Diary of a Mad Black Woman,5500000,50406346,50458356
45,11/22/1996,Shine,5500000,35811509,36672493
46,9/27/2013,Don Jon,5500000,24477704,41268579
47,8/22/1973,High Plains Drifter,5500000,15700000,15700000
48,6/6/2003,Mambo Italiano,5500000,9282750,12399772
49,7/20/2001,Ghost World,5500000,6217849,8761608
50,12/14/2001,Iris,5500000,5580479,15155021
51,6/6/1980,Galaxina,5500000,4865000,4865000
52,11/26/2004,Les Choristes,5500000,3629758,83529758
53,10/3/2003,Wonderland,5500000,1060512,1060512
54,7/1/2005,De battre mon coeur s'est arrÃªtÃ©,5500000,1023424,8589831
