,Release_Date,Title,Production_Budget,Domestic_Gross,Worldwide_Gross
0,10/7/1963,Tom Jones,1000000,37600000,37600000
1,4/17/2015,Unfriended,1000000,32789645,62869004
2,2/8/1976,Taxi Driver,1000000,28262574,28316211
3,5/24/2006,An Inconvenient Truth,1000000,24146161,52769915
4,2/1/1980,The Fog,1000000,21378361,21378361
5,8/23/2013,You're Next,1000000,18494006,26887177
6,5/25/2012,Chernobyl Diaries,1000000,18119640,42411721
7,4/10/1981,The Howling,1000000,17985000,17985000
8,5/8/1963,Dr. No,1000000,16067035,59567035
9,9/18/1987,Hellraiser,1000000,14564000,14575148
10,9/16/2005,Cry Wolf,1000000,10047674,15943081
11,8/18/2000,Godzilla 2000,1000000,10037390,10037390
12,12/29/2010,Blue Valentine,1000000,9737892,16566240
13,1/20/2006,Transamerica,1000000,9015303,16553163
14,1/1/1970,Beyond the Valley of the Dolls,1000000,9000000,9000000
15,1/1/1956,Love Me Tender,1000000,9000000,9000000
16,1/1/1949,Sands of Iwo Jima,1000000,7800000,7800000
17,9/25/2015,The Green Inferno,1000000,7192291,12931569
18,10/19/2012,The Sessions,1000000,6002451,11495204
19,4/4/2008,Shine a Light,1000000,5505267,16173879
20,3/23/2012,October Baby,1000000,5355847,5391992
21,9/12/2014,The Skeleton Twins,1000000,5284309,5797192
22,6/14/2013,20 Feet From Stardom,1000000,4946250,5892466
23,6/12/2009,"Food, Inc.",1000000,4417674,4731944
24,7/28/2017,An Inconvenient Sequel,1000000,3496795,4608236
25,8/21/1998,Next Stop Wonderland,1000000,3395581,3465703
26,6/6/2014,Obvious Child,1000000,3122616,3324070
27,10/21/2011,Martha Marcy May Marlene,1000000,2981038,5438911
28,8/3/2005,Junebug,1000000,2678010,3553253
29,8/1/2008,Frozen River,1000000,2511476,6030129
30,11/21/2001,Sidewalks of New York,1000000,2402459,3575308
31,4/24/1998,Two Girls and a Guy,1000000,2057193,2315026
32,9/29/2000,The Broken Hearts Club: A Romantic Comedy,1000000,1744858,2022442
33,6/28/2006,Who Killed the Electric Car?,1000000,1678874,1849392
34,9/18/2009,The Secrets of Jonathan Sperry,1000000,1355079,1355079
35,7/17/1996,Walking and Talking,1000000,1287480,1615787
36,9/19/2003,Bubba Ho-Tep,1000000,1239183,1492895
37,12/7/2001,No Man's Land,1000000,1067481,2684207
38,10/9/1998,Slam,1000000,1009819,1087521
39,4/6/2001,Brigham City,1000000,852206,852206
40,8/18/2017,Patti Cake$,1000000,800148,1471090
41,12/1/2000,Panic,1000000,779137,1425707
42,5/9/2014,Palo Alto,1000000,767732,1156309
43,9/8/2000,Fiza,1000000,623791,1179462
44,2/3/2010,Ajami,1000000,621859,2721096
45,10/23/1998,Orgazmo,1000000,582024,627287
46,7/29/2011,The Future,1000000,568662,1239174
47,2/14/2003,All the Real Girls,1000000,549666,703020
48,10/24/2014,23 Blast,1000000,549185,549185
49,6/20/1997,Dream With The Fishes,1000000,542909,542909
50,7/19/2013,The Act of Killing,1000000,486919,501289
51,5/2/2003,Blue Car,1000000,464126,475367
52,10/19/2007,Wristcutters: A Love Story,1000000,446165,473769
53,5/5/2000,Luminarias,1000000,428535,428535
54,7/18/2014,I Origins,1000000,336472,852399
55,11/28/2014,Antarctica: A Year on Ice,1000000,288757,288757
56,8/22/2003,The Battle of Shaker Heights,1000000,280351,839145
57,1/18/2008,Taxi to the Dark Side,1000000,274661,304472
58,4/8/2016,The Invitation,1000000,231738,354836
59,9/24/2004,Guiana 1838,1000000,227241,227241
60,12/30/2002,Love Liza,1000000,213137,213137
61,7/7/2006,Once in a Lifetime: the Extraordinary Story of the New York Cosmos,1000000,144601,215559
62,8/22/2001,Lisa Picard is Famous,1000000,113433,113433
63,7/31/2015,Beyond the Brick: A LEGO Brickumentary,1000000,101531,101531
64,10/30/2009,The House of the Devil,1000000,101215,102812
65,6/1/2012,Hardflip,1000000,96734,96734
66,3/11/2016,Creative Control,1000000,63014,63014
67,9/16/2005,Chocolate: Deep Dark Secrets,1000000,49000,1549000
68,7/1/2011,The Perfect Host,1000000,48764,51587
69,9/25/1998,The Last Big Thing,1000000,22434,22434
70,8/7/1998,Safe Men,1000000,21210,21210
71,8/31/2001,Speedway Junky,1000000,17127,17127
72,2/13/2015,Hits,1000000,15156,15156
73,9/22/2000,The Specials,1000000,12996,12996
74,9/3/2010,16 to Life,1000000,11574,11574
75,1/17/2007,Alone with Her,1000000,10787,844377
76,10/17/2014,Camp X-Ray,1000000,9837,9837
77,11/21/2008,Special,1000000,7202,26822
78,4/10/2015,The Sisterhood of Night,1000000,6870,6870
79,3/19/1999,Sparkler,1000000,5494,5494
80,3/18/2005,The Helixâ¦Loaded,1000000,3700,3700
81,5/15/2015,Childless,1000000,1036,1036
82,4/21/2006,In Her Line of Fire,1000000,884,884
83,12/13/2002,The Jimmy Show,1000000,703,703
84,12/31/2013,Heli,1000000,0,552614
85,12/31/2015,Karachi se Lahore,1000000,0,17721
86,12/31/2006,Loving Annabelle,1000000,0,5382
87,12/11/2015,American Hero,1000000,0,26
88,12/1/2009,Frat Party,1000000,0,0
89,9/15/2006,Jimmy and Judy,1000000,0,0
90,10/24/2003,The Party's Over,1000000,0,0
91,7/17/2009,The Poker House,1000000,0,0
92,9/23/2005,Proud,1000000,0,0
93,12/31/2008,Steppin: The Movie,1000000,0,0
94,1/29/2010,Zombies of Mass Destruction,1000000,0,0
95,3/20/2012,Snow White: A Deadly Summer,1000000,0,0
96,10/9/2012,Truth or Die,1000000,0,0
97,5/14/2013,Black Rock,1000000,0,0
98,1/7/2014,Hidden Away,1000000,0,0
99,10/4/2013,My Last Day Without You,1000000,0,0
100,10/8/2013,Zombie Hunter,1000000,0,0
101,12/31/2014,Doc Holliday's Revenge,1000000,0,0
102,6/24/2014,A Fine Step,1000000,0,0
103,2/10/2015,Fear Clinic,1000000,0,0
104,3/10/2015,The Pet,1000000,0,0
105,12/31/2014,Bang Bang Baby,1000000,0,0
106,3/1/2016,1982,1000000,0,0
107,10/27/2015,The Horror Network,1000000,0,0
108,12/31/2016,Chemical Cut,1000000,0,0
109,12/22/2015,Por amor en el caserio,1000000,0,0
110,6/1/2007,And Then Came Love,989000,8158,8158
111,4/14/2006,Hard Candy,950000,1024640,8267066
112,9/27/2002,Charly,950000,814666,814666
113,1/10/2014,Banshee Chapter,950000,0,78122
114,12/31/2010,Trance,950000,0,0
115,8/12/2014,Jesse,950000,0,0
116,3/3/2015,Ask Me Anything,950000,0,0
117,4/13/2012,L!fe Happens,930000,30905,30905
118,11/21/2014,Food Chains,913000,0,176
119,7/28/1954,On the Waterfront,910000,9600000,9600000
120,7/12/2013,Fruitvale Station,900000,16098998,17549645
121,4/1/2016,Meet the Blacks,900000,9097072,9097072
122,1/25/2008,"4 luni, 3 saptamani si 2 zile",900000,1196321,11993156
123,8/26/2011,Circumstance,900000,454121,958978
124,8/25/2006,The Quiet,900000,381420,381420
125,4/27/2012,The Giant Mechanical Man,900000,7396,7396
126,4/5/2013,The Brass Teapot,900000,6997,413733
127,12/31/2014,40 Weeks,900000,0,0
128,5/5/2015,Le bonheur d'Elza,900000,0,0
129,8/13/1942,Bambi,858000,102797000,268000000
130,8/31/2012,"For a Good Time, Call",850000,1251749,1386088
131,1/30/2004,Latter Days,850000,833118,865708
132,3/21/2008,The Hammer,850000,442638,442638
133,8/28/2015,Windsor Drive,850000,3256,3256
134,12/31/2012,Snitch,850000,0,0
135,12/31/2008,Harrison Montgomery,850000,0,0
136,8/3/2012,Celeste and Jesse Forever,840000,3103407,3787689
137,10/25/2002,Time Changer,825000,1500711,1500711
138,8/11/2009,London to Brighton,825000,0,610776
139,12/31/2009,Crying With Laughter,820000,0,16909
140,1/1/1971,Billy Jack,800000,98000000,98000000
141,12/30/2011,Jodaeiye Nader az Simin,800000,7098492,24426169
142,5/10/1996,Welcome to the Dollhouse,800000,4198137,5034794
143,3/28/2003,Raising Victor Vargas,800000,2073984,2900578
144,10/1/1993,Ruby in Paradise,800000,1001437,1001437
145,8/9/2002,Pandora's Box,800000,881950,881950
146,7/18/2007,Cama adentro,800000,200433,200433
147,3/10/2000,Deterrence,800000,144583,371647
148,5/7/2004,The Mudge Boy,800000,62544,62544
149,4/11/2003,The Young Unknowns,800000,58163,58163
150,6/19/2009,DÃ¸d snÃ¸,800000,46742,2194020
151,9/19/2014,Not Cool,800000,35688,35688
152,2/3/2012,Kill List,800000,29063,462206
153,1/9/2015,Vessel,800000,0,0
154,8/6/2004,Saints and Soldiers,780000,1310470,1310470
155,8/11/1973,American Graffiti,777000,115000000,140000000
156,9/8/2006,Iraq for Sale: The War Profiteers,775000,0,0
157,9/9/2011,Kevin Hart: Laugh at My Pain,750000,7706436,7712436
158,4/13/2007,Aqua Teen Hunger Force Colon Movie Film for Theaters,750000,5520368,5520368
159,6/8/2012,Safety Not Guaranteed,750000,4010957,4422318
160,2/3/2012,The Innkeepers,750000,78396,1011535
161,8/29/2014,Il conformista,750000,59656,59656
162,11/15/2002,Interview with the Assassin,750000,47329,47329
163,7/1/2005,Undead,750000,41196,229250
164,1/23/2009,Donkey Punch,750000,19367,814801
165,10/11/2013,All the Boys Love Mandy Lane,750000,0,1960521
166,12/31/2014,Destiny,750000,0,450
167,4/7/2009,Bled,750000,0,0
168,1/5/2016,Adulterers,750000,0,0
169,6/25/1968,La mariÃ©e Ã©tait en noir,747000,44566,44566
170,1/1/1952,High Noon,730000,8000000,8000000
171,10/14/1994,Hoop Dreams,700000,7768371,11768371
172,6/24/2005,Rize,700000,3278611,4857731
173,8/11/2006,Half Nelson,700000,2697938,4911725
174,9/7/2001,L.I.E.,700000,1140965,1140965
175,10/8/1999,Naturally Native,700000,10508,10508
176,1/26/2010,B-Girl,700000,0,1160
177,3/13/2015,Walter,700000,0,0
178,4/7/1933,King Kong,672000,10000000,10000650
179,4/10/1953,House of Wax,658000,23800000,23800000
180,6/19/1998,Hav Plenty,650000,2301777,2301777
181,10/11/2013,Escape from Tomorrow,650000,171962,171962
182,12/31/2012,After,650000,0,0
183,12/31/2014,The Hadza: Last of the First,650000,0,0
184,12/31/2009,Starsuckers,640000,0,14812
185,12/31/2013,Treachery,625000,0,0
186,9/6/1935,Top Hat,609000,1782000,3202000
187,7/14/1999,The Blair Witch Project,600000,140539099,248300000
188,3/26/1970,Woodstock,600000,34505110,34505110
189,8/10/1977,The Kentucky Fried Movie,600000,15000000,20000000
190,5/10/1967,Per qualche dollaro in piÃ¹,600000,4300000,4300000
191,10/31/2000,Mercy Streets,600000,173599,173599
192,5/2/2014,Water & Power,600000,42557,42557
193,10/19/2007,Arnolds Park,600000,23616,23616
194,7/2/1999,Broken Vessels,600000,15030,85343
195,5/22/2015,Drunk Wedding,600000,3301,3301
196,3/4/2016,They Will Have to Kill Us First,600000,0,7943
197,8/23/2002,Crop Circles: Quest for Truth,600000,0,0
198,8/8/2014,The Maid's Room,600000,0,0
199,12/31/2014,Light from the Darkroom,600000,0,0
200,2/24/2015,Irreplaceable,600000,0,0
201,8/11/1964,A Hard Day's Night,560000,1537860,1620124
202,7/29/2011,The Harvest/La Cosecha,560000,3709,3709
203,12/31/2015,Julija in alfa Romeo,560000,0,8462
204,12/31/1931,Mata Hari,558000,900000,900000
205,5/9/1980,Friday the 13th,550000,39754601,59754601
206,4/27/1984,Love Letters,550000,5269990,5269990
207,9/12/2014,Faith Connections,550000,9111,9111
208,3/6/2012,High Road,546173,0,0
209,9/26/2008,Fireproof,500000,33456317,33473297
210,11/15/1974,Benji,500000,31559560,31559560
211,8/6/2004,Open Water,500000,30500882,55518641
212,1/1/1977,Kingdom of the Spiders,500000,17000000,17000000
213,5/13/2005,Mad Hot Ballroom,500000,8117961,9387581
214,10/3/2003,The Station Agent,500000,5801558,9470209
215,1/22/2010,To Save a Life,500000,3777210,3824868
216,6/16/2006,Wordplay,500000,3121270,3177636
217,10/22/1999,Beyond the Mat,500000,2047570,2047570
218,2/1/2002,The Singles Ward,500000,1250798,1250798
219,7/8/2011,Sholem Aleichem: Laughing in the Darkness,500000,1131261,1131261
220,1/30/2004,Osama,500000,1127331,1971479
221,6/9/2000,Groove,500000,1115313,1167524
222,1/31/2003,The R.M.,500000,1111615,1111615
223,7/30/1999,Twin Falls Idaho,500000,985341,1027228
224,8/20/2004,Mean Creek,500000,603951,1348750
225,8/23/2013,Drinking Buddies,500000,343706,407100
226,2/13/1998,Hurricane Streets,500000,334041,367582
227,7/12/2002,Never Again,500000,307631,308793
