,Genre,Language,Nudity,Rating,Sex,Title,Violence
96,Documentary,None,Light,Not Rated,Light,Lupe Faalele:  Soaring Doves,Light
97,Thriller,None,None,PG-13,None,A Quiet Place,Medium
98,Drama,Light,None,PG,None,The Miracle Season,None
99,Thriller,Heavy,Medium,R,Medium,Tyler Perry’S Acrimony,Medium
100,Drama,Medium,None,PG-13,Light,Chappaquiddick,Medium
101,Comedy,Medium,Light,PG-13,Medium,Finding Your Feet,None
102,Drama,None,None,PG,None,God’S Not Dead: A Light In Darkness,Light
103,Action Adventure,Heavy,Light,PG-13,Light,Ready Player One,Medium
104,Drama,None,None,G,None,Benji (2018),Light
105,Drama,Medium,Medium,Not Rated,Medium,Back To Burgundy,Light
106,Romance,Medium,Light,PG-13,Light,Midnight Sun,None
107,Thriller,Heavy,None,R,Medium,Unsane,Heavy
108,Animated,None,Light,PG,None,Sherlock Gnomes,Light
109,Biblical Drama,None,None,PG-13,Light,"Paul, Apostle Of Christ",Medium
110,Animated,Light,Light,PG-13,Light,Isle Of Dogs,Medium
111,Science Fiction,Heavy,Light,PG-13,Light,Pacific Rim: Uprising,Medium
112,Drama,Light,None,PG-13,None,7 Days In Entebbe,Medium
113,Drama,None,None,,Light,Like Arrows,None
114,Drama,None,None,PG,None,I Can Only Imagine,Light
115,Thriller,Medium,None,PG-13,None,Tomb Raider (2018),Medium
116,Comedy,Light,None,PG-13,Light,Getting Grace,Light
117,Romance,Heavy,Light,PG-13,Medium,"Love, Simon",None
118,Thriller,Heavy,None,PG-13,Light,The Hurricane Heist,Heavy
119,Comedy,Heavy,None,R,Light,The Death Of Stalin,Heavy
120,Horror,Heavy,None,R,None,The Strangers: Prey At Night,Heavy
121,Comedy,Heavy,Light,R,Medium,Gringo,Medium
122,Drama,None,None,,Light,My Daddy’S In Heaven,Medium
123,Science Fiction,None,None,PG,None,A Wrinkle In Time (2018),Light
124,Comedy,Heavy,Medium,R,Light,Thoroughbreds,Heavy
125,Animated,None,None,G,None,Ice Dragon:  Legend Of The Blue Daisies,Light
126,Mystery,Heavy,Light,R,Light,Detective Chinatown 2,Heavy
127,Animated,None,None,PG,None,Mary And The Witch’S Flower,Light
128,Thriller,Heavy,Light,R,Light,Death Wish (2018),Heavy
129,Drama,Heavy,Heavy,R,Heavy,Ismael’S Ghosts,Heavy
130,Drama,Heavy,Heavy,R,Medium,Final Portrait,Light
131,Spy Movie,Heavy,Heavy,R,Heavy,Red Sparrow,Heavy
132,Drama,Medium,Light,Not Rated,Light,The Young Karl Marx,Medium
133,Romance,Medium,Light,PG-13,Medium,Every Day (2018),Light
134,Comedy,Heavy,Light,R,Medium,Game Night,Medium
135,Science Fiction,Heavy,Light,R,Medium,Annihilation,Heavy
136,Drama,Light,Heavy,R,Medium,Foxtrot,Medium
137,Drama,Medium,Medium,R,Light,A Fantastic Woman,Light
138,"Family, Comedy, Action",Light,Light,Not Rated,None,Shifting Gears (2018),Light
139,Romantic Comedy,Heavy,Light,R,Light,La Boda De Valentina,Light
140,Biopic,Heavy,Heavy,Not Rated,Medium,A Futile And Stupid Gesture,Light
141,Comedy,Heavy,None,R,Medium,The Party (2017),Medium
142,Science Fiction,Light,Light,PG-13,None,Black Panther,Medium
143,Comedy,Light,Light,PG,None,Peter Rabbit (2018),Light
144,Drama,Medium,Light,Not Yet Rated,Light,The 33,Medium
145,Drama,None,None,,Light,Broken & Beautiful,None
146,Romance,Heavy,Medium,R,Heavy,Fifty Shades Freed,Medium
147,Drama,None,Light,PG-13,Light,Samson,Medium
148,Drama,Heavy,Light,PG-13,Light,The 15:17 To Paris,Medium
149,Drama,None,None,Not Rated,Light,Sacred Vow,None
150,Animated,None,Light,PG,None,Early Man,Light
151,Documentary,None,Light,Not Rated,None,Amazon Arising: Joy In The Jungle,Light
