,Genre,Language,Nudity,Rating,Sex,Title,Violence
0,Comedy,Heavy,Medium,R,Heavy,The Change-Up,Light
1,Thriller,Heavy,Light,R,Light,The Chameleon,Light
2,Comedy,Medium,Light,R,Light,Ceremony,Light
3,Comedy,Heavy,Medium,R,Medium,Cedar Rapids,Medium
4,Documentary,None,Light,G,None,The Cave Of Forgotten Dreams,None
5,Family,None,None,G,None,Cars 2,Light
6,Drama,Heavy,None,R,Light,Carnage,Light
7,Drama,Heavy,Heavy,R,Medium,Carancho,Heavy
8,Action,Medium,None,PG-13,None,Captain America:  The First Avenger,Medium
9,Comedy,Heavy,Heavy,R,Heavy,Bucky Larson: Born To Be A Star,None
10,Documentary,Medium,Light,Not Rated,None,Buck,Light
11,Thriller,Heavy,Light,R,Medium,The Brotherhood,Heavy
12,Drama,Medium,Light,Not Rated,Light,Brighton Rock,Medium
13,Comedy,Heavy,Light,R,Medium,Bridesmaids,Light
14,Drama,Light,Heavy,R,Medium,Bride Flight,Medium
15,Documentary,None,None,G,None,Born To Be Wild 3D (Imax),None
16,Western,Heavy,Light,R,Light,Blackthorn,Medium
17,Action,Light,Light,R,None,Black Death,Heavy
18,Documentary,Light,Light,Not Rated,Light,Bill Cunningham New York,None
19,Comedy,Medium,None,PG,None,The Big Year,Light
20,Comedy,Heavy,None,PG-13,Light,"Big Mommas: Like Father, Like Son",Light
21,Drama,Heavy,Light,PG-13,None,A Better Life,Light
22,Drama,Heavy,Medium,R,Heavy,Bellflower,Heavy
23,Documentary,None,None,Not Rated,None,Being Elmo: A Puppeter’S Journey,None
24,Drama,Heavy,Medium,R,Heavy,Beginners,None
25,Drama,Medium,Light,PG-13,Medium,The Beaver,Light
26,Drama,Heavy,Medium,R,Medium,Beautiful Boy,Light
27,Science Fiction,Medium,Light,PG-13,Light,Beastly,Medium
28,Science Fiction,Heavy,None,PG-13,Light,Battle: Los Angeles,Medium
29,Documentary,Light,Light,Not Rated,None,Battle For Brooklyn,None
30,Comedy,Heavy,Medium,R,Heavy,Bad Teacher,Light
31,Science Fiction,Heavy,None,R,None,Attack The Block,Heavy
32,Mystery,Medium,Light,PG-13,Light,Atlas Shrugged Part 1,Light
33,Drama,Light,Light,PG-13,None,The Artist,Light
34,Family,Light,None,PG,None,Arthur Christmas,Light
35,Comedy,Light,Light,PG-13,Light,Arthur,Light
36,Drama,Medium,Medium,R,Light,The Art Of Getting By,Light
37,Horror,Medium,None,PG-13,None,Apollo 18,Medium
38,Drama,Heavy,Heavy,R,Light,Another Happy Day,Light
39,Science Fiction,Light,Medium,PG-13,Medium,Another Earth,Heavy
40,Drama,Medium,Medium,PG-13,Medium,Anonymous,Medium
41,Musical,None,Light,G,None,Alvin And The Chipmunks: Chipwrecked,Light
