,Genre,Language,Nudity,Rating,Sex,Title,Violence
0,Documentary,Heavy,Medium,R,Heavy,Dysfunktional Family,None
1,Comedy,Heavy,Medium,R,Heavy,Boat Trip,Medium
2,Action Thriller,Heavy,Medium,R,Medium,Cradle 2 The Grave,Heavy
3,Horror,Heavy,Light,R,None,Dreamcatcher,Heavy
4,Sports Comedy,Heavy,Light,PG-13,Light,Bend It Like Beckham,Light
5,Comedy,Heavy,None,PG-13,Medium,Bringing Down The House,Medium
6,Drama,Heavy,Medium,R,Light,People I Know,Light
7,Horror,Light,None,PG-13,Light,Willard,Medium
8,Drama,Heavy,Medium,R,Medium,Poolhall Junkies,Medium
9,Comedy,Medium,None,PG-13,Light,View From The Top,Light
10,Documentary,Medium,None,PG-13,Medium,Blue Collar Comedy Tour,None
11,Drama,Heavy,None,R,Light,Levity,Medium
12,Comedy,Heavy,Light,PG-13,Light,Head Of State,Light
13,Action Thriller,Medium,None,R,None,The Hunted,Heavy
14,Drama,Medium,None,R,Medium,Tears Of The Sun,Heavy
15,Documentary,Light,None,PG-13,None,Only The Strong Survive,None
16,,Light,Light,R,Light,Cowboy Bebop: The Movie,Heavy
17,Adventure,Medium,None,PG,Light,Holes,Medium
18,Science Fiction,Heavy,Light,PG-13,None,The Core,Light
19,Family,None,None,G,None,Piglet’S Big Movie,Light
20,Drama,Heavy,Medium,R,Medium,Dahmer,Heavy
21,Thriller,Heavy,Light,Not Rated,Light,The Bank,Light
22,Comedy,Medium,None,Not Rated,Light,Divine Intervention (Yadon Ilaheyya),Heavy
23,Drama,Heavy,Medium,R,Light,Dark Blue,Heavy
24,Horror,Heavy,Medium,R,Light,Final Destination 2,Heavy
25,Documentary,Heavy,None,R,Medium,Martin Lawrence Live: Runteldat,None
26,Thriller,Heavy,Light,R,Light,Read My Lips,Medium
27,Action Adventure,Medium,None,PG-13,Light,Biker Boyz,Medium
28,Action Adventure,Medium,Light,PG-13,Light,Shanghai Knights,Medium
29,Comedy,Heavy,Light,PG-13,Light,Just Married,Medium
30,Comedy,Medium,Light,R,Medium,Elling,Light
31,Thriller,Light,None,PG-13,Light,The Recruit,Medium
32,Documentary,Medium,None,R,None,Lost In La Mancha,Light
33,War Movies,Medium,Light,PG-13,None,Gods And Generals,Medium
34,Documentary,Light,None,PG,None,Blind Spot: Hitler’S Secretary,None
35,Historical Epic,Light,None,Not Rated,None,Russian Ark,None
36,Comedy,Heavy,Light,PG-13,Medium,The Hot Chick,Medium
37,Drama,Medium,Heavy,R,Heavy,Gangs Of New York,Heavy
38,Drama,Heavy,Medium,Not Rated,Medium,Devils On The Doorstep,Heavy
39,Comedy,Light,None,PG-13,Light,Two Weeks Notice,None
40,Drama,Medium,Light,PG-13,Medium,Catch Me If You Can,None
41,Science Fiction,Light,None,PG-13,Light,Star Trek: Nemesis,Medium
42,Drama,Heavy,None,PG-13,Light,Drumline,Light
43,Family,Light,Light,PG,None,Rugrats Go Wild,Light
44,Drama,Light,None,PG-13,Medium,The Hours,Medium
45,Semi-documentary,None,None,No MPAA rating,None,The Gift,None
46,Documentary,Light,None,PG,None,An Inconvenient Truth,None
47,Family,Light,None,G,None,Cars,Light
48,Thriller,Medium,Light,PG-13,Medium,The Da Vinci Code,Medium
49,Thriller,Medium,None,PG-13,Light,Poseidon,Medium
50,Action Adventure Thriller,Medium,Light,PG-13,Light,Mission Impossible Iii,Medium
51,Comedy,Medium,None,PG,Light,Rv,Medium
52,Thriller,Medium,None,PG-13,Light,The Sentinel,Medium
53,Supernatural Horror,Heavy,Light,R,Light,Silent Hill,Heavy
54,Comedy,Heavy,Medium,PG-13,Medium,Phat Girlz,Light
55,Drama,Medium,None,PG,None,Akeelah And The Bee,None
56,Comedy,Medium,Light,PG-13,Light,Just My Luck,Light
57,Drama,Light,Light,PG,Light,Goal! The Dream Begins,Light
58,Comedy,Heavy,Medium,R,Heavy,Standing Still,Light
59,Thriller,Heavy,Light,R,Light,Hard Candy,Heavy
60,Drama,Heavy,Light,Not Rated,Light,Haven,Medium
61,Drama,Heavy,None,PG-13,None,Take The Lead,Light
62,Drama,Light,Light,R,None,Water,Light
63,Drama,Heavy,None,PG-13,Light,Stick It,Light
64,Drama,Light,None,R,Light,The Lost City,Heavy
65,Comedy,None,None,G,None,The Wild,Medium
66,Comedy,Heavy,Light,PG-13,Medium,Scary Movie 4,Medium
67,Comedy,Heavy,None,PG-13,Light,American Dreamz,Light
68,Comedy,Light,Light,PG,None,Hoot,Light
69,Numskull Comedy,Medium,Light,PG-13,Light,The Benchwarmers,Light
70,Mystery,Light,None,R,Light,Brick,Medium
71,Drama,Medium,Light,R,Medium,Lonesome Jim,Light
72,Drama,Heavy,Light,R,Light,Don’T Come Knocking,Light
73,Drama,Heavy,Medium,Not Rated,Medium,Beyond Honor,Heavy
74,Horror,Heavy,Light,PG-13,Light,Stay Alive,Medium
75,Horror,Heavy,Medium,R,Medium,Slither,Heavy
76,Science Fiction,Heavy,Heavy,R,Medium,V For Vendetta,Heavy
77,Drama,Medium,Medium,R,Heavy,The Libertine,Light
78,Comedy,Medium,Light,R,Medium,Duck Season,Light
79,Comedy,Heavy,Light,PG-13,Light,Larry The Cable Guy: Health Inspector,Light
80,Thriller,Heavy,Medium,R,Heavy,Basic Instinct 2,Heavy
81,Drama,Heavy,Light,R,Heavy,Friends With Money,Light
82,Drama,Medium,Heavy,R,Heavy,Ask The Dust,Light
83,Thriller,Heavy,None,R,Light,The Zodiac,Heavy
84,Comedy,Heavy,Light,PG-13,Light,She’S The Man,Light
85,Comedy,Heavy,Light,R,Light,Find Me Guilty,Light
86,Drama,Medium,Medium,R,Medium,Game 6,Light
87,Thriller,Heavy,None,R,Light,Inside Man,Medium
88,Documentary,Medium,Medium,PG-13,Light,The Devil And Daniel Johnston,Light
89,Coming-of-Age Drama,Heavy,Light,PG-13,Light,Atl,Light
90,Drama,Light,None,Not Rated,None,L’Enfant (The Child),Light
91,Drama,Heavy,Light,R,None,United 93,Medium
92,Concert documentary,None,None,PG,None,Neil Young: Heart Of Gold,None
93,Comedy,None,None,PG,None,Over The Hedge,None
94,Comedy,Light,None,PG,Light,Ice Age: The Meltdown,Medium
95,Science Fiction,Medium,None,PG-13,None,Ultraviolet,Heavy
96,Comedy,Medium,Light,PG-13,None,On A Clear Day,None
97,Comedy,Heavy,Light,PG-13,Light,Failure To Launch,Light
98,Comedy,Light,Light,PG,Light,The Shaggy Dog,Light
99,Documentary,Heavy,None,R,Light,Dave Chappelle’S Block Party,Light
