,Genre,Language,Nudity,Rating,Sex,Title,Violence
0,Horror,Heavy,Heavy,R,Medium,The Lords Of Salem,Heavy
1,Documentary,Light,Light,PG,None,Linsanity,None
2,Comedy,Heavy,Heavy,R,Heavy,Movie 43,Heavy
3,Documentary,Light,None,PG-13,Light,Scatter My Ashes At Bergdorf’S,None
4,Drama,Medium,Medium,PG-13,Light,Still Mine,Light
5,Documentary,Light,None,PG,None,Inequality For All,Light
6,Documentary,Medium,None,R,Light,Metallica Through The Never,Medium
7,Horror,Heavy,Heavy,R,Medium,Paranormal Activity: The Marked Ones,Heavy
8,Historical Drama,Medium,Heavy,R,Light,Renoir,Medium
9,Comedy,Heavy,Heavy,R,Medium,Hell Baby,Heavy
10,Comedy,None,None,PG,None,Fill The Void,None
11,Comedy,Heavy,Light,PG-13,Medium,Girl Most Likely,Light
12,Documentary,Medium,Light,PG,Light,Justin Bieber’S Believe,Light
13,Documentary,None,None,TV-G,None,Contrarian,None
14,Drama,None,None,Not Rated,None,Captains Courageous,Light
15,Historical Drama,Light,Light,R,Medium,The Invisible Woman,Light
16,Drama,None,None,Not Rated,None,Captain Courageous,Light
17,Documentary,Light,Light,PG-13,Light,Blackfish,Medium
18,Thriller,Medium,Light,None,Light,Dhoom 3,Medium
19,Documentary,Light,Light,PG,None,Muscle Shoals,Light
20,Comedy,Heavy,Light,PG-13,Medium,Grudge Match,Medium
21,Comedy,Heavy,Heavy,R,Heavy,The Wolf Of Wall Street,Medium
22,Action,None,None,PG-13,None,47 Ronin,Medium
23,Drama,Heavy,Medium,R,Light,Her,None
24,Family,Light,None,PG,None,Walking With Dinosaurs,Medium
25,Comedy,Medium,None,PG,None,The Secret Life Of Walter Mitty,Light
26,Drama,Light,Light,Not Rated,Light,The Past,Light
27,Drama,Heavy,None,Not Rated,Light,Go For Sisters,Medium
28,Documentary,None,None,Not Rated,Light,The Cross,Light
29,Comedy,Medium,None,PG-13,Medium,Anchorman 2: The Legend Continues,Medium
30,Drama,None,None,Not Rated,None,Coming Home For Christmas,None
31,Comedy,Heavy,Light,PG-13,Light,Tyler Perry’S A Madea Christmas,Light
32,Drama,Heavy,Medium,R,Light,American Hustle,Light
33,Drama,Medium,Heavy,NC-17,Heavy,Blue Is The Warmest Color,Medium
34,Thriller,Heavy,Medium,R,Heavy,Oldboy (2013),Heavy
35,Action,None,Light,PG-13,Light,The Hobbit: The Desolation Of Smaug,Medium
36,Drama,Light,None,PG-13,Light,Saving Mr. Banks,None
37,Thriller,Heavy,None,R,None,The Last Days On Mars,Heavy
38,Comedy,Medium,None,PG,Light,Pulling Strings,Light
39,Drama,None,None,PG,None,The Ultimate Life,Light
40,Comedy,None,Light,PG,None,Despicable Me 2,Medium
41,Reality TV,Light,None,TV-PG,None,Shark Tank:  Episode 4.20,None
42,Reality TV,None,None,TV-G,None,"Secret Millionaire: George & Kym Rapier: Oakridge, Oregon",None
43,Drama,Heavy,Light,R,Light,Filly Brown,Medium
44,Drama,Medium,None,PG-13,Light,Philomena,None
45,Documentary,None,Light,Not Rated,Light,56 Up,None
46,Drama,Medium,Heavy,PG-13,Medium,Mandela: Long Walk To Freedom,Heavy
47,Drama,Light,None,PG-13,None,Barbara,Light
48,Thriller,Heavy,Light,R,Light,Out Of The Furnace,Heavy
