,Genre,Language,Nudity,Rating,Sex,Title,Violence
0,Punk-Rock Drama (British),Medium,None,R,Heavy,Young Soul Rebels,Medium
1,Drama,Light,None,PG,None,Strangers In Good Company,None
2,Drama,Light,Light,PG-13,None,Kafka,Medium
3,Thriller,Light,Light,R,Light,The Hand That Rocks The Cradle,Medium
4,Drama,Light,None,R,None,Let Him Have It,Light
5,Investigative Drama,Medium,None,R,Light,J.F.K.,Light
6,Drama,None,None,French: Not submitted to the MPAA,Medium,Madame Bovary,None
7,Drama,Medium,None,R,Light,The Inner Circle,Light
8,Comedy,Light,None,PG,None,Driving Me Crazy,Light
9,Japanese Social Drama,None,None,PG,None,Rhapsody In August,None
10,Comedy,Light,None,PG,Light,Father Of The Bride (1991),None
11,Horror,None,Light,R,Heavy,The Terror Within Ii,None
12,Comedy,Medium,None,R,None,Ski School,None
13,Action-Thriller,Medium,None,PG-13,Medium,A.K.: Art Killer,Medium
14,Science-Fiction,Heavy,None,PG-13 probably,None,The Applegates,None
15,Horror,Heavy,None,PG-13,Medium,Nothing But Trouble,Light
16,Psychological Drama,Heavy,None,Not rated,Medium,La Femme Nikita,Heavy
17,Comedy,Medium,None,PG-13,None,L.A. Story,Light
18,Science Fiction,None,None,PG,None,Never Ending Story Ii: The Next Chapter,Light
19,Drama,Light,None,G,None,Iron And Silk,None
20,Comedy,Medium,None,PG,None,Defending Your Life,None
21,Action-Drama,Heavy,None,R,Light,American Kickboxer,Medium
22,Dramatic thriller,Light,None,R,Heavy,Sleeping With The Enemy,Heavy
23,Action-Crime Drama,Heavy,Medium,R,Heavy,New Jack City,Heavy
24,Philosophical Documentary,Medium,None,R,Light,The Big Bang,None
25,Comedy,Medium,Medium,PG-13,Light,King Ralph,None
26,War Epic,None,None,PG-13,None,Heaven And Earth,Medium
27,Drama,Heavy,None,PG-13,None,Guilty By Suspicion,Light
28,Musical Biography,Heavy,Heavy,R,Heavy,The Doors,Medium
29,Comedy,Heavy,Medium,R,Heavy,Switch,Medium
30,Drama,Heavy,Heavy,R,Heavy,The Grifters,Heavy
31,Drama,Medium,Medium,None,Heavy,Freeze-Die-Come To Life,Medium
32,Drama-comedy,Heavy,None,None,Heavy,Taxi Blues,Medium
33,Romantic Comedy-Drama,Heavy,None,R,Medium,Queens Logic,Light
34,Propagandist Political Drama,Medium,None,R,Light,Closet Land,Heavy
35,Drama,Heavy,None,PG-13,Medium,"He Said, She Said",None
