,Genre,Language,Nudity,Rating,Sex,Title,Violence
0,Comedy,Heavy,Medium,PG-13,Medium,Epic Movie,Medium
1,Science Fiction,None,None,PG,None,Enchanted,Medium
2,Drama,Light,Medium,PG-13,Light,Elizabeth: The Golden Age,Heavy
3,Drama,Heavy,Light,R,Medium,El Cantante,Medium
4,Drama,None,Light,NR,Light,Eklavya – The Royal Guard,Light
5,Thriller,Heavy,Heavy,R,Medium,Eastern Promises,Heavy
6,Comedy,Heavy,Light,R,Light,Eagle Vs Shark,Light
7,Action Thriller,Medium,None,PG-13,None,Dragon Wars: D-War,Medium
8,Action,Medium,Medium,PG,Light,Doa: Dead Or Alive,Heavy
9,Thriller,Medium,Light,PG-13,Light,Disturbia,Medium
10,Drama,Heavy,Medium,R,Medium,Diggers,Light
11,Comedy,Heavy,Light,PG-13,Light,Delta Farce,Medium
12,Comedy,Heavy,Medium,R,Medium,Dedication,None
13,Drama,Light,Medium,PG-13,Light,December Boys,Light
14,Thriller,Heavy,Light,R,None,Death Sentence,Heavy
15,Comedy,Medium,Light,R,Light,The Darjeeling Limited,Light
16,Comedy,Medium,None,PG-13,Light,Dan In Real Life,Light
17,Drama,Medium,Light,PG-13,Light,Daddy’S Little Girls,Light
18,Comedy,Light,None,PG,None,Daddy Day Camp,Light
19,Drama,Medium,None,PG-13,Light,Constellation,Light
20,Thriller,Heavy,None,R,Light,The Condemned,Heavy
21,Sports Comedy,Heavy,Light,PG-13,Heavy,The Comebacks,Medium
22,Comedy,Heavy,Light,R,Light,Colour Me Kubrick: A True…Ish Story,Light
23,Comedy,Medium,Light,PG-13,Light,Code Name: The Cleaner,Light
24,Thriller,Heavy,Light,R,Light,Civic Duty,Light
25,Comedy,Heavy,Light,PG-13,Heavy,Catch And Release,Light
26,Horror,Heavy,Heavy,R,Medium,Bug,Heavy
27,Comedy,Heavy,Light,R,Medium,The Brothers Solomon,Light
28,Drama,Heavy,Light,R,Medium,Brooklyn Rules,Heavy
29,Science Fiction,Light,None,PG,None,Bridge To Terabithia,Light
30,Drama,Medium,Light,PG-13,Medium,Breach,Light
31,Thriller,Heavy,Medium,R,Medium,The Brave One,Heavy
32,Comedy,Medium,None,PG,None,Bratz,Light
33,Thriller,Heavy,None,PG-13,None,The Bourne Ultimatum,Heavy
34,Horror,Light,Light,PG-13,Light,Blood And Chocolate,Heavy
35,Comedy,Heavy,Light,PG-13,Medium,Blades Of Glory,Heavy
36,Drama,Heavy,Medium,R,Heavy,Black Snake Moan,Medium
37,Drama,Heavy,Heavy,R,Medium,Black Book,Heavy
38,Drama,Medium,Light,R,None,Beyond The Gates,Heavy
39,Animated,Light,Medium,PG-13,Light,Beowulf,Heavy
40,Drama,Light,None,PG-13,None,Bella,Light
41,Thriller,Heavy,Medium,R,Medium,Before The Devil Knows You’Re Dead,Heavy
42,Familuy,None,None,PG,None,Bee Movie,Light
43,Drama,Light,Light,PG,Light,Becoming Jane,None
44,Comedy,Medium,Medium,PG-13,Medium,Because I Said So,Light
45,Comedy,Medium,Light,PG-13,Medium,Balls Of Fury,Medium
46,Drama,Light,None,PG-13,Light,Away From Her,None
47,Drama,Light,None,PG-13,Light,August Rush,Light
48,Drama,Light,None,PG,None,The Astronaut Farmer,Light
49,Western,Medium,Light,R,Light,The Assassination Of Jesse James By The Coward Robert Ford,Heavy
50,Fantasy,Light,Light,PG,None,Arthur And The Invisibles,Light
51,Comedy,Light,None,PG,Light,Are We Done Yet?,Light
52,Animal Adventure Drama,None,None,PG,Light,Arctic Tale,Light
53,Animated Comedy,Heavy,Light,R,Light,Aqua Teen Hunger Force: The Movie,Heavy
54,Musical,Medium,Light,PG-13,Light,Antonia,Medium
55,Thriller,Heavy,Medium,R,Medium,American Gangster,Heavy
56,Drama,Light,None,PG,None,Amazing Grace,Light
57,Family,None,None,PG,None,Alvin And The Chipmunks,Light
58,Drama,Heavy,Medium,R,Medium,Alpha Dog,Medium
59,Drama,Light,Medium,R,Light,After The Wedding,Light
60,Drama,Heavy,Light,R,Medium,Adam’S Apples,Heavy
61,Musical,Heavy,Heavy,PG-13,Heavy,Across The Universe,Medium
62,Horror,Heavy,Heavy,R,None,The Abandoned,Heavy
63,War Movie,Light,Medium,R,Medium,300,Heavy
64,Horror,Heavy,None,R,None,30 Days Of Night,Heavy
65,Western,Heavy,Medium,R,Light,3:10 To Yuma,Heavy
66,Horror,Heavy,Medium,R,Medium,28 Weeks Later,Heavy
67,Comedy,Heavy,Heavy,R,Heavy,2 Days In Paris,Light
68,Horror,Heavy,Medium,PG-13,None,1408,Heavy
69,Comedy,Medium,None,NR,None,12:08 East Of Bucharest,None
70,Documentary,Light,None,PG,None,The 11Th Hour,Light
71,Science Fiction,Light,None,PG,None,The Seeker: The Dark Is Rising,Medium
72,Drama,None,None,NR,Light,The Wager,Light
73,Drama,Heavy,Light,PG-13,Light,Cassandra’S Dream,Light
74,Sunday School Curriculum Series,None,None,Not Rated,None,Pair O’Bulls,Light
75,Documentary,None,Light,Not Rated,None,The Birth Of Freedom,Light
76,Family,Light,None,PG,None,Bigfoot,None
77,Comedy,Light,Light,PG-13,Light,Other End Of The Line,Light
78,Drama,Heavy,Light,R,Light,Che,Medium
79,Horror,Heavy,None,R,None,Splinter,Heavy
80,Drama,Heavy,Light,R,None,Jcvd,Medium
81,Drama,Light,None,PG-13,Medium,The World Unseen,None
82,Drama,Medium,Light,NR,Medium,A Christmas Tale,Light
83,Musical,Medium,Light,NR,Light,Bachna Ae Haseeno,Light
84,Drama,Heavy,Heavy,R,Medium,"Synecdoche, New York",Light
85,Drama,Light,None,PG-13,Light,I’Ve Loved You So Long,None
86,Drama,None,Light,PG,None,Ballet Shoes,None
87,Comedy,Heavy,Medium,NR,Medium,Filth And Wisdom,Medium
88,Martial Arts Drama,Light,None,TBD,Light,Ashes Of Time Redux,Medium
89,Drama,Heavy,Medium,NR,Medium,Save Me,Medium
90,Horror,Medium,None,PG-13,Light,The Haunting Of Molly Hartley,Medium
91,Comedy,Medium,Light,PG-13,Light,Breakfast With Scot,Light
92,Comedy,Heavy,Light,R,Light,Happy-Go-Lucky,Light
93,Drama,Heavy,Light,R,Medium,Rachel Getting Married,Light
94,Western,Heavy,Medium,R,Light,Appaloosa,Medium
95,Comedy,Heavy,Light,PG-13,Light,An American Carol,Medium
96,Drama,Light,Light,PG-13,Light,The Boy In The Striped Pajamas,Light
97,Drama,Light,Medium,PG-13,Heavy,Hounddog,Heavy
98,Comedy,Heavy,Heavy,R,Heavy,Sex Drive,Light
99,Dramatic Comedy,Heavy,Light,PG-13,Light,Nothing Like The Holidays,Light
