,Genre,Language,Nudity,Rating,Sex,Title,Violence
0,Romantic Comedy,Medium,Medium,R,Heavy,Maggie’S Plan,None
1,Drama,None,Light,PG-13,None,The Man Who Knew Infinity,Light
2,Biblical Drama,None,None,** CHRISTIAN DVD GUIDE **,Light,Esther,Light
3,Animated,Light,None,PG,Light,The Angry Birds Movie,Medium
4,Comedy,Heavy,Medium,R,Heavy,The Lobster,Heavy
5,Thriller,Heavy,Light,R,Medium,Money Monster,Medium
6,Comedy,Light,None,PG,Light,Love & Friendship,None
7,Comedy,Medium,None,R,Light,The Family Fang,Medium
8,Animated,Light,None,PG,None,Bling,Medium
9,Drama,Heavy,Heavy,R,Heavy,A Bigger Splash,Medium
10,"Action, Comedy",Heavy,Light,R,Medium,Compadres,Heavy
11,Science Fiction,Heavy,None,PG-13,None,Captain America:  Civil War,Medium
12,Biblical Drama,None,Medium,Not Rated,Medium,Solomon,Medium
13,Drama,Light,Medium,PG-13,Light,Last Days In The Desert,Light
14,Science Fiction,Medium,Heavy,R,Heavy,High-Rise,Heavy
15,Comedy,Heavy,Medium,R,Light,Keanu,Heavy
16,Comedy,Medium,None,PG-13,Light,Mother’S Day,Light
17,Biblical Drama,None,Light,** DVD GUIDE **,None,Moses,Medium
18,Drama,Medium,Medium,Not Rated,Light,Nina,Medium
19,Documentary,Light,None,R,None,City Of Gold,None
20,Comedy,Heavy,None,R,Light,Mr. Right,Heavy
21,Animated,None,None,PG,None,Ratchet & Clank,Light
22,Biblical Drama,Light,Light,** DVD GUIDE **,Light,Joseph,Medium
23,Drama,Light,Light,Not Rated,Light,The Vessel,Light
24,Musical,Medium,None,PG-13,Light,Sing Street,Light
25,Fantasy,Light,Medium,PG-13,Medium,The Huntsman:  Winter’S War,Medium
26,Comedy,Heavy,None,R,None,Elvis & Nixon,Light
27,Comedy,Medium,Medium,R,Medium,A Hologram For The King,Light
28,Biblical Drama,Light,Light,** CHRISTIAN DVD GUIDE **,Light,Jacob,Light
29,Biblical Drama,None,Light,Not Rated,Light,Abraham,Medium
30,Biblical Epic,None,None,Not Rated,None,Genesis:  Creation And The Flood,Light
31,Comedy,Heavy,None,PG-13,Light,Barbershop:  The Next Cut,Light
32,Comedy,None,Light,Not Rated,None,Love Different,Light
33,Spy Movie,Heavy,None,R,Light,Criminal (2016),Heavy
34,Action Adventure,None,Light,PG,None,The Jungle Book (2016),Medium
35,Science Fiction,Heavy,Medium,R,Medium,Hardcore Henry,Heavy
36,Comedy,Heavy,None,R,Light,The Boss,Medium
37,Romance,Light,Light,PG,Light,High Strung,Light
38,Historical Drama,None,None,Not Rated,None,Jeremiah,Medium
39,Comedy,Light,None,PG,None,Rescue Dogs,Light
40,Horror,Heavy,None,R,None,Green Room,Heavy
41,Comedy,Heavy,Light,R,Light,Meet The Blacks,Heavy
42,Comedy,Heavy,Medium,R,Heavy,Everybody Wants Some!!,Light
43,Documentary,None,None,PG-13,Light,The Abolitionists,Light
44,Comedy,Light,None,PG-13,Light,The Meddler,Light
45,Drama,None,None,Not Rated,None,I Am Potential,None
46,Drama,None,None,PG,None,God’S Not Dead 2,Light
47,Drama,Heavy,Medium,R,Heavy,Viva,Light
48,Drama,Heavy,Medium,R,Medium,Miles Ahead,Medium
49,Science Fiction,Medium,Medium,PG-13,Light,Batman V Superman:  Dawn Of Justice,Heavy
50,Romantic Comedy,Light,Light,PG-13,Light,My Big Fat Greek Wedding 2,None
51,Live Musical Event,None,None,TV-PG,None,The Passion:  New Orleans,Light
52,Drama,Heavy,None,PG-13,None,The Confirmation,Medium
53,Comedy,Heavy,None,R,Light,Demolition,Light
54,Historical Biography,None,None,Not Rated,None,St. Patrick:  The Irish Legend,Light
55,Science Fiction,Light,None,PG-13,None,Midnight Special,Medium
56,Science Fiction,Medium,Light,PG-13,None,The Divergent Series:  Allegiant,Light
57,Comedy,Heavy,Medium,R,Heavy,Creative Control,Light
58,Romance,Heavy,Medium,R,Medium,The Perfect Match,Light
59,Musical,None,None,Not Rated,None,Easter Mysteries,Light
60,Drama,None,Light,PG,None,Miracles From Heaven,Light
61,Science Fiction,Light,None,PG-13,Light,10 Cloverfield Lane,Medium
62,Drama,Medium,Medium,R,Medium,Knight Of Cups,Medium
63,Drama,None,Medium,R,Light,I Saw The Light,Light
64,Comedy,Heavy,None,PG-13,Light,Lazer Team,Medium
65,Horror,None,None,R,Light,The Other Side Of The Door,Heavy
66,Historical Drama,None,Light,PG-13,None,The Young Messiah,Light
67,Comedy,Heavy,Heavy,R,Heavy,The Bronze,Light
68,Comedy,Heavy,Light,R,Light,"Hello, My Name Is Doris",None
69,Documentary,Heavy,Light,R,Light,Cartel Land,Heavy
