,Genre,Language,Nudity,Rating,Sex,Title,Violence
0,Drama,Heavy,Light,R,Medium,"I, Tonya",Medium
1,Drama,Medium,Heavy,R,Medium,Loveless,None
2,Fantasy,Heavy,Heavy,R,Heavy,The Shape Of Water,Heavy
3,Comedy,Heavy,Heavy,R,Medium,Downsizing,Medium
4,Drama,Heavy,Light,PG-13,Medium,Wonder Wheel,Medium
5,Drama,Light,Medium,R,Heavy,Call Me By Your Name,Light
6,Drama,Heavy,Heavy,R,Medium,Lady Bird,Light
7,Drama,None,Light,Not Rated,Light,"The Salt Of The Earth, Gunpei Yamamuro",Medium
8,Science Fiction,Medium,Light,PG-13,None,Justice League,Medium
9,Drama,Heavy,None,R,Light,"Three Billboards Outside Ebbing, Missouri",Heavy
10,Drama,Medium,None,PG-13,None,"Roman J. Israel, Esq.",Light
11,Comedy,Light,None,PG,None,Wonder,Light
12,Drama,Light,None,PG-13,None,Darkest Hour,Light
13,Animated,None,Light,PG,Light,Coco,Medium
14,Documentary,None,None,PG,None,Genesis:  Paradise Lost,None
15,Animation,None,None,PG,None,The Star,Light
16,Documentary,Medium,None,Not Rated,None,No Greater Love (2017),Medium
17,Comedy,Medium,None,PG-13,Light,Daddy’S Home 2,Light
18,Mystery,Heavy,None,PG-13,Light,Murder On The Orient Express (2017),Medium
19,Documentary,None,Light,Not Rated,None,The Love Story Of Leonard Knight,None
20,Horror,Light,None,Not Rated,Medium,Thelma,Medium
21,Drama,Heavy,None,R,Light,Lbj,Medium
22,Drama,None,None,PG,None,Te Ata,None
23,Comedy,Heavy,Medium,R,Medium,A Bad Moms Christmas,Light
24,Drama,Medium,Medium,R,Medium,Novitiate,Light
25,Comedy,None,None,PG,None,The Man Who Invented Christmas,Light
26,Documentary,Light,Light,Not Rated,Light,I’Ll Push You,None
27,Horror,Heavy,None,R,None,Jigsaw (2017),Heavy
28,Comedy,Heavy,None,R,Light,Suburbicon,Medium
29,Comedy,Heavy,Medium,R,Medium,The Square,Medium
30,Horror,Light,Medium,R,Medium,The Killing Of A Sacred Deer,Heavy
31,Animated,Light,None,PG-13,Light,Loving Vincent,Medium
32,Drama,Light,Light,PG-13,Light,On Wings Of Eagles,Medium
33,Drama,Heavy,Light,R,Medium,Thank You For Your Service,Heavy
34,Drama,None,None,Not Rated,Light,The Fortress,Heavy
35,Drama,Medium,Light,PG-13,Light,Breathe,Light
36,Science Fiction,Medium,Light,PG-13,Light,Geostorm,Medium
37,Horror,Heavy,Medium,R,Medium,Leatherface,Heavy
38,Thriller,Medium,Medium,R,Light,The Snowman,Heavy
39,Comedy,Heavy,Light,PG-13,Medium,Tyler Perry’S Boo 2! A Madea Halloween,Light
40,Drama,Heavy,None,R,Light,Last Flag Flying,None
41,Drama,Heavy,Medium,R,Heavy,Professor Marston And The Wonder Women,Light
42,Science Fiction,Medium,Light,PG-13,Light,Thor: Ragnarok,Medium
43,Thriller,Heavy,Light,R,Light,The Foreigner,Heavy
44,Thriller,Heavy,None,PG-13,Light,Happy Death Day,Medium
