,Genre,Language,Nudity,Rating,Sex,Title,Violence
0,Action-caper comedy,None,None,PG,Light,Sneakers,Medium
1,Drama,None,Light,R,Light,The Last Butterfly,None
2,Drama,Light,None,Not submitted to MPAA,Medium,The Ox,Light
3,Documentary,None,None,Not submitted to MPAA,None,Pagan Invasion – Vol. 6: Evolution: Hoax Or History? Pagan Invasion – Vol. 7: Evolution: From Physics To Metaphysics,Light
4,Cult Drama (prequel),None,Medium,R,Heavy,Twin Peaks: Fire Walk With Me,Heavy
5,Drama,None,Medium,R,Medium,Light Sleeper,Medium
6,Drama,Heavy,Medium,R,Heavy,Gas Food Lodging,None
7,Drama,None,None,PG-13,Medium,Breaking The Rules,Light
8,Thriller,None,Light,R,Heavy,Single White Female,Heavy
9,Psychological-horror thriller,None,None,R,Heavy,The Vagrant,Heavy
10,Comedy,None,Light,PG-13,Medium,Singles,None
11,Drama,None,None,R,Light,Mistress,None
12,Drama,Light,None,PG-13,None,Sarafina!,Heavy
13,Comedy,Heavy,None,PG-13,Medium,The Gun In Betty Lou’S Handbag,Heavy
14,Animation,None,None,G,None,Little Nemo: Adventures In Slumberland,None
15,Comedy,None,None,PG-13,None,Buffy The Vampire Slayer,Medium
16,Introspective drama,None,Light,PG,Light,A Tale Of Springtime,None
17,Animation,None,None,PG-13,Light,Bebe’S Kids,Medium
18,Erotic mystery-thriller,Heavy,Medium,R,Heavy,Whispers In The Dark,Heavy
19,Psychological Drama,None,Medium,Not submitted to MPAA,None,Afraid Of The Dark,None
20,Comedy,None,None,PG,Medium,Stay Tuned,Medium
21,Comedy,None,None,PG-13,Light,Honeymoon In Vegas,None
22,Drama,None,Light,PG-13,Light,Christopher Columbus: The Discovery,Medium
23,Drama,None,None,PG,Light,Enchanted April,None
24,Science Fiction,None,None,Not submitted to MPAA,None,"The Chronicles Of Narnia: The Lion, The Witch, And The Wardrobe",None
25,Mystery,None,Light,PG-13,Medium,Man Trouble,Light
26,Drama,Heavy,None,R,None,Glengarry Glen Ross,None
27,Drama,Heavy,None,Not submitted to MPAA,Light,Romeo & Julia,Medium
28,Action-adventure,None,None,PG,None,Three Ninjas,Heavy
29,Comedy,None,Light,PG-13,Light,Death Becomes Her,Light
30,Drama,None,Light,Not submitted to MPAA rating,Medium,The Hairdresser’S Husband,None
31,Comedy,None,Light,Not submitted to MPAA,Light,The 4Th Animation Celebration: The Movie!,None
32,Drama,Medium,None,R,None,Cold Heaven,Medium
33,Documentary,None,None,Not submitted to MPAA,None,A Brief History Of Time,None
34,Drama,Heavy,Heavy,R,Heavy,London Kills Me,Light
35,Adult animation,None,Heavy,PG-13,Heavy,Cool World,Medium
36,Comedy,None,None,R,Medium,Mo’ Money,Heavy
37,Drama,None,None,PG-13,Medium,Prelude To A Kiss,None
38,Comedy,None,Medium,R,Heavy,Boomerang,Light
39,Western,None,None,R,Heavy,Unforgiven,Heavy
40,Drama,None,Light,R,Light,Diggstown,Medium
41,Drama,None,None,Not rated by MPAA,Light,Zentropa,Medium
42,Suspense,None,None,R,Medium,Raising Cain,Medium
43,Comedy,None,None,PG,Light,Mom And Dad Save The World,Light
44,Comedy,Light,None,PG,None,"Honey, I Blew Up The Kid",Light
45,Documentary,None,None,Not submitted to MPAA,None,No Second Chance,None
46,Surrealistic Drama,None,Medium,R,Heavy,The Adjuster,None
47,Action,None,Medium,R,Medium,Live Wire,Heavy
48,Futuristic military saga,None,Medium,R,None,Universal Soldier,Heavy
49,Thriller,Heavy,Heavy,R,Heavy,Unlawful Entry,Heavy
50,Action,None,None,R,None,Aces: Iron Eagle Iii,Heavy
51,Drama,Heavy,Light,R,Light,Where The Day Takes You,Medium
52,Drama,Light,Medium,Swedish film. Not rated by the MPAA.,Heavy,The Best Intentions,Light
53,Drama,None,Light,Not rated.,None,The Wages Of Fear,Medium
54,Drama,None,None,PG-13,None,A Stranger Among Us,Light
55,Drama,Light,None,PG,None,Dark Horse,None
56,Teaching aid for teenagers,None,None,Not submitted to MPAA,Light,Power Surge: Rock N’ Roll & Power Surge: Sex,None
57,Drama,None,None,PG,None,December,None
58,Evangelistic Drama,None,None,Not submitted to MPAA,None,Eye Of The Storm,None
59,Eccentric Comedy,None,Light,R,Heavy,Highway 61,Light
60,Action Adventures,None,None,R,None,The Human Shield,Medium
61,Drama,None,Light,Not submitted to MPAA,Medium,Adam’S Rib,None
62,Monologue,Light,None,PG-13,Light,Monster In A Box,None
63,Action,Medium,None,R,Light,Patriot Games,Heavy
64,Comedy,Medium,None,PG,None,A League Of Their Own,Light
65,Action-adventure,Light,None,PG,Light,Batman Returns,Heavy
66,Drama,None,None,Not submitted to MPAA,None,Sammy,None
67,E Horror,None,None,PG-13,Medium,Children Of The Corn Ii: The Final Sacrifice,Heavy
68,Horror,None,None,R,Light,Alien 3,Heavy
69,Comedy,None,Medium,Not submitted to MPAA,Medium,How To Be A Woman And Not Die In The Attempt,None
70,Animated eschatological holocaust drama,None,Medium,Not submitted to the MPAA,None,Fist Of The North Star,Heavy
71,Documentary,Light,None,PG,None,Incident At Oglala,Light
72,Comedy,None,None,PG-13,Light,Housesitter,Light
73,Drama,None,None,PG-13,None,The Silk Road,None
74,Comedy,Light,None,PG,Light,Big Girls Don’T Cry,Light
75,Comedy,Medium,None,PG,Light,Sister Act,Medium
76,Drama,Light,None,PG,None,Efficiency Expert (Spotswood),None
77,Comedy,None,Medium,R,Medium,The Opposite Sex (And How To Live With Them),Light
78,Comedy-drama,Heavy,Medium,R,Medium,Leaving Normal,Medium
79,Drama,Heavy,None,R,Medium,The Linguini Incident,Medium
80,Comedy,None,None,R,Medium,Class Act,Light
81,Drama,None,Light,R,Medium,Poison Ivy,Light
82,Drama,None,Medium,R,Medium,Diary Of A Hit Man,Medium
83,Drama,None,None,R,Light,One False Move,Heavy
84,Drama,Heavy,None,R,Medium,Night On Earth,None
85,Drama,None,Light,PG-13,Medium,The Playboys,Medium
86,,Heavy,Medium,,Light,K2: The Ultimate High,Medium
87,Satiric Comedy,Light,None,PG-13,Light,Folks,Light
88,Drama,None,Light,PG-13,Light,A Woman’S Tale,None
89,Science Fiction,None,None,Not submitted to MPAA,None,The Chronicles Of Narnia: Prince Caspian And The Voyage Of The Dawn Treader,None
90,Horror,None,None,R,Medium,Sleepwalkers,Heavy
91,Comedy,None,None,R,Medium,Delicatessen,Heavy
92,Drama,None,Heavy,R,Medium,Edward Ii,Heavy
93,Dramathriller,None,Light,No MPAA rating,Medium,Lovers,Light
94,Drama,None,None,R,Medium,Deep Cover,Heavy
95,Crime,Medium,None,R,Medium,Lethal Weapon 3,Heavy
96,Sophisticated comedy,Light,None,PG-13,Light,The Year Of The Comet,Light
97,Comedy,Heavy,Medium,R,Medium,The Player,Light
98,Slapstick Comedy,None,Light,PG,Light,Brain Donors,Light
99,Documentary,None,None,Not submitted to M.P.A.A.,None,Pagan Invasion Volume Three Meditation: Pathway To Deception,None
