,Genre,Language,Nudity,Rating,Sex,Title,Violence
0,Drama,Heavy,Medium,R,Medium,Les Voleurs (Thieves),Medium
1,Action,Heavy,None,Not yet rated by MPAA,Light,Dusting Cliff 7,Medium
2,Comedy,Medium,None,PG-13,None,I’M Not Rappaport,Light
3,Drama,Heavy,None,Not rated by MPAA,Light,Mina Tannenbaum,Medium
4,Drama,Heavy,Light,R,None,Some Mother’S Son,Medium
5,Documentary,Heavy,None,Not rated by the MPAA,None,Dadetown,Light
6,Music Documentary,Heavy,Light,Unrated by MPAA,Light,A Message To Love,Light
7,Drama,Light,Medium,R,Light,The Garden Of The Finzi-Continis,None
8,Horror,Heavy,Light,R,Medium,Scream,Heavy
9,Science Fiction,Light,Light,PG,Light,Michael,Light
10,Animated Comedy,Heavy,Light,PG-13,Medium,Beavis And Butthead Do America,Medium
11,Dramatic Comedy,Medium,Medium,PG-13,Heavy,The Evening Star,None
12,Comedy,Heavy,Medium,R,Medium,Citizen Ruth,Light
13,Drama,Heavy,Light,R,Medium,Eva Peron:  The True Story,Light
14,Musical,Medium,Light,PG,Light,Everyone Says I Love You,None
15,Drama,None,Light,PG-13,Medium,William Shakespeare’S Hamlet,Medium
16,Musical,Light,None,PG-13,Light,Evita,Medium
17,Drama,Light,None,PG-13,None,Marvin’S Room,Light
18,Drama,None,None,TV-G,None,Ice Dreams,Light
19,Animated,None,None,G,None,All Dogs Go To Heaven,None
20,Comedy,Light,Light,PG,None,Flubber,Light
21,Musical,None,None,Pre-Rating System,None,The Sound Of Music,None
22,Drama,Medium,None,PG-13,None,Fair Game,Light
23,Drama,None,None,TV-G,None,Anne Of Green Gables (1934),None
24,Drama,None,None,TV PG,None,The Magnificent Ambersons,None
25,Family,None,None,G,None,Toy Story In 3D,Light
26,,Light,None,G,None,Toy Story,Light
27,Drama,Medium,Light,PG-13,Light,Everybody’S Fine,Light
28,Documentary,None,None,G,None,Earth,Light
29,Comedy,None,None,PG-13,None,Happy Together,None
30,Documentary,Medium,None,Not Rated,Light,Border,Light
31,Police Thriller,Medium,Light,PG-13,Light,Deja Vu,Medium
32,Comedy,Heavy,None,PG-13,Medium,Man Of The Year,Light
33,Action,Light,None,PG-13,Light,The Guardian,Medium
34,Western,Heavy,Heavy,R,Medium,The Proposition,Heavy
35,Thriller,Light,None,Not rated,Light,Touch Of Evil,Medium
36,Sex farce,Heavy,None,R,None,Orgazmo,None
37,Action,Heavy,Light,R,Light,Knock Off,Heavy
38,Comedy,Heavy,Medium,R,Medium,Clay Pigeons,Heavy
39,Drama,Heavy,None,R,None,Rounders,None
40,Thriller,Heavy,Light,R,Light,One Tough Cop,Medium
41,Thriller,Medium,None,R,None,Ronin,Heavy
42,Comedy,Heavy,None,PG-13,None,Rush Hour,Medium
43,Drama,Light,None,PG,None,The Mighty,Light
44,Comedy,Heavy,None,R,Medium,Dead Man On Campus,Light
45,Drama,Heavy,Medium,R,Medium,54,None
46,Historical romance,Light,Medium,R,Heavy,Firelight,None
47,Drama,Heavy,None,PG-13,Medium,A Soldier’S Daughter Never Cries,Light
48,Drama,Medium,None,PG,Light,Dancing At Lughnasa,None
49,Drama,Heavy,None,PG-13,Medium,Without Limits,Light
50,Musical comedy,Heavy,Light,R,Medium,Why Do Fools Fall In Love?,Medium
