,Genre,Language,Nudity,Rating,Sex,Title,Violence
0,Animated,None,None,PG,None,Kung Fu Panda 3,None
1,Horror,Medium,None,PG-13,Light,The Boy,Medium
2,Comedy,Heavy,Heavy,R,Heavy,Dirty Grandpa,Medium
3,Romance,None,None,Not Rated,None,Providence,Light
4,War Movie,Light,None,Not Rated,Light,A War,Heavy
5,Drama,Light,Light,Not Rated,None,The Pastor,Medium
6,Drama,None,None,PG-13,Light,Caged No More,Medium
7,Science Fiction,Medium,None,PG-13,Light,The 5Th Wave,Medium
8,Animated,None,None,PG,None,Norm Of The North,Light
9,Drama,Light,None,PG-13,Light,Mustang,Medium
10,Drama,Heavy,None,PG-13,Light,Jimmy’S Hall,Medium
11,Thriller,Heavy,None,R,Light,Cop Car,Heavy
12,Drama,None,Heavy,R,Heavy,The Diary Of A Teenage Girl,None
13,Documentary,Light,None,G,Light,A Lego Brickumentary,None
14,Documentary,Light,Heavy,PG-13,Light,The Salt Of The Earth (2015),Heavy
15,Documentary,Heavy,Heavy,R,Medium,Drunk Stoned Brilliant Dead:  The Story Of The National Lampoon,Light
16,Drama,Light,Heavy,R,None,Son Of Saul,Heavy
17,Drama,Light,Medium,R,Heavy,The New Girlfriend,Medium
18,Comedy,Heavy,Light,R,Light,Entertainment,Medium
19,Thriller,Heavy,Light,R,None,Trash,Medium
20,War Movie,Heavy,None,R,Light,13 Hours: The Secret Soldiers Of Benghazi,Heavy
21,Drama,Heavy,Heavy,R,Heavy,Strangerland,Medium
22,Drama,None,None,** TELEVISION GUIDE **,None,Love Finds You In Valentine,Light
23,Comedy,Heavy,None,PG-13,None,Ride Along 2,Medium
24,Documentary,None,None,Not Rated,None,Agenda 2:  Masters Of Deceit,None
25,Drama,Medium,Medium,Not Rated,Medium,I Believe In Unicorns,Light
26,Documentary,Light,Light,Not Rated,Light,The Look Of Silence,Medium
27,Documentary,Medium,Heavy,Not Rated,None,Winter On Fire,Medium
28,Horror,Medium,None,PG-13,None,The Forest,Heavy
29,Thriller,Medium,Light,R,None,Assassination,Heavy
30,Drama,Light,Medium,Not Rated,Light,The Wonders,Light
31,Action Adventure,Heavy,None,Not Rated,Light,Mojin – The Lost Legend,Heavy
32,Thriller,Heavy,Medium,PG-13,Medium,Point Break (2015),Medium
33,Comedy,Heavy,Heavy,R,Light,The 100-Year-Old Man Who Climbed Out The Window And Disappeared,Heavy
34,Drama,Heavy,Light,R,None,‘71,Heavy
35,Horror,Light,None,PG-13,Light,The Vatican Tapes,Heavy
36,Animated,Heavy,Heavy,R,Heavy,Anomalisa,None
37,Drama,Light,None,PG-13,None,Joy,Light
38,Drama,Medium,Light,PG-13,None,Concussion,Medium
39,Documentary,Medium,Heavy,R,Light,Where To Invade Next,Light
40,Documentary,Medium,Light,R,None,Meru,Medium
41,Comedy,Heavy,Light,R,Light,Wild Tales (Relatos Salvajes),Heavy
42,Drama,None,None,PG,None,Yellow Day,Light
43,Western,Heavy,Medium,R,Medium,The Hateful Eight,Heavy
44,Drama,None,Heavy,R,Heavy,The Danish Girl,Light
45,Documentary,None,Light,TV-PG,None,Ancient Roads From Christ To Constantine,Light
46,Comedy,Heavy,Light,PG-13,Light,Daddy’S Home,Light
47,Science Fiction,Light,None,PG-13,None,Star Wars:  The Force Awakens,Medium
