,Genre,Language,Nudity,Rating,Sex,Title,Violence
0,Documentary,None,Light,Not Rated,None,The Cathedral,Light
1,Documentary,None,None,N/A,Light,Irreplaceable,None
2,Science Fiction,Light,None,PG-13,None,The Amazing Spider-Man 2,Medium
3,Comedy,Heavy,Light,R,Light,Chef,None
4,Comedy,Heavy,Heavy,R,Heavy,Neighbors,Medium
5,Science Fiction,Light,Heavy,R,Medium,Under The Skin (2014),Medium
6,Drama,Light,None,PG,Light,Belle,Light
7,Drama,Heavy,Medium,R,Medium,Joe,Heavy
8,Drama,Light,None,PG-13,Light,Gimme Shelter,Medium
9,Thriller,Heavy,Light,PG-13,Light,Brick Mansions,Heavy
10,Horror,Medium,Light,PG-13,Light,The Quiet Ones,Medium
11,Comedy,Heavy,Light,PG-13,Medium,The Other Woman (2014),Medium
12,Drama,Heavy,None,R,Light,Locke,None
13,Drama,None,None,Not Rated,None,Flag Of My Father,Medium
14,War,None,None,Not Rated,Light,Walking With The Enemy,Medium
15,Reality TV,None,None,TV-G,None,The Real Winning Edge:  Episode 524,Light
16,Science Fiction,Light,None,PG-13,Light,Transcendence,Medium
17,Comedy,Heavy,Medium,R,Heavy,A Haunted House 2,Medium
18,Musical,Medium,Light,PG-13,Light,Make Your Move,Light
19,Documentary,None,None,G,None,Bears,Light
20,Drama,None,Light,R,None,The Railway Man,Heavy
21,Drama,None,None,PG,Light,Heaven Is For Real,Light
22,Comedy,Heavy,Light,R,Light,Cuban Fury,Light
23,Drama,Heavy,Medium,R,Light,Only Lovers Left Alive,Medium
24,Horror,Medium,None,R,Light,Oculus,Heavy
25,Drama,Heavy,None,PG-13,Light,Draft Day,Light
26,Thriller,Heavy,Heavy,Not Rated,Medium,The Raid 2,Heavy
27,Comedy,None,None,G,None,Rio 2,Light
28,Family,None,None,Not Rated,None,The Rev,None
29,Documentary,None,None,Not Rated,None,Blue,None
30,Comedy,Medium,None,R,Medium,At Middleton,None
31,Horror,Heavy,Light,R,Light,Afflicted,Heavy
32,Documentary,Light,None,G,None,Island Of Lemurs: Madagascar (Imax),None
33,Comedy,Heavy,Heavy,R,Medium,Dom Hemingway,Heavy
34,Action,Medium,Light,PG-13,None,Captain America: The Winter Soldier,Medium
35,Comedy,Heavy,Light,R,Medium,Walk Of Shame,Medium
36,Drama,Medium,None,PG-13,None,Cesar Chavez,Light
37,Action,Heavy,Medium,R,Medium,Sabotage,Heavy
38,Biblical Epic,Light,Light,PG-13,Light,Noah,Medium
