,Genre,Language,Nudity,Rating,Sex,Title,Violence
0,Martial Arts Thriller,Light,None,PG-13,None,Street Fighter: The Legend Of Chun-Li,Heavy
1,Horror,Heavy,Heavy,R,Heavy,Friday The 13Th,Heavy
2,Horror,Medium,None,PG-13,Medium,The Uninvited,Heavy
3,Comedy,Medium,Light,PG,Light,Confessions Of A Shopaholic,Light
4,Science Fiction,None,None,PG,None,Delgo,Medium
5,Horror Comedy,Heavy,Medium,R,Light,My Name Is Bruce,Heavy
6,Comic Spy Thriller,Heavy,Medium,PG-13,Light,Duplicity,Light
7,Drama,Light,Heavy,R,Heavy,The Reader,Light
8,Psychological Drama,Medium,Medium,R,Medium,Adam Resurrected,Medium
9,Drama,Heavy,Light,R,Light,Good,Medium
10,Drama,Heavy,Medium,R,Heavy,The Wrestler,Heavy
11,Drama,Heavy,None,R,Medium,Nothing But The Truth,Medium
12,Drama,Heavy,Light,R,Heavy,Cadillac Records,Light
13,Drama,Heavy,Light,R,Medium,What Doesn’T Kill You,Medium
14,Film Noir,Medium,Medium,R,Medium,Dark Streets,Medium
15,Animated,Light,Heavy,R,Heavy,Waltz With Bashir,Heavy
16,Dark Comedy Thriller,Heavy,Medium,R,Heavy,Nobel Son,Heavy
17,Drama,Heavy,Heavy,NR,Medium,Hunger,Heavy
18,Drama,Medium,Light,R,None,Wendy And Lucy,None
19,Science Fiction,Medium,Medium,R,Light,Timecrimes,Medium
20,Animated,None,Light,PG,None,Planet 51,Light
21,Science Fiction,Heavy,None,R,Light,District 9,Heavy
22,Science Fiction,Heavy,Light,PG-13,Light,2012,Medium
23,Comedy,Heavy,Light,R,Medium,The Ugly Truth,Light
24,Drama,Heavy,Light,PG-13,Light,Obsessed,Medium
25,Comedy,Light,None,PG,None,The Pink Panther 2,Light
26,Science Fiction,None,Light,R,Medium,Underworld 3,Heavy
27,Comedy,Medium,Light,PG,Light,Paul Blart Mall Cop,Light
28,Drama,Heavy,None,PG,Light,Not Easily Broken,Light
29,Comedy,Heavy,Medium,R,Light,What Just Happened,Heavy
30,Thriller,Heavy,None,PG-13,Light,Taken,Heavy
31,Comedy,Medium,Light,PG-13,Medium,Year One,Medium
32,Comedy,Medium,None,PG,None,New In Town,Light
33,Horror,Medium,Heavy,R,Light,Let The Right One In,Heavy
34,Drama,Medium,None,PG-13,Light,Last Chance Harvey,None
35,Drama,Medium,Light,R,Light,Defiance,Heavy
36,Action,Medium,Light,PG-13,Light,Transporter 3,Medium
37,Drama,Heavy,Medium,R,Heavy,Milk,Medium
38,Science Fiction,Heavy,Medium,PG-13,Light,The Spirit,Heavy
39,Drama,Medium,None,PG-13,None,The Soloist,Medium
40,Drama,Light,None,PG-13,Light,Doubt,Light
41,Thriller,Heavy,None,R,None,Punisher: War Zone,Heavy
42,Drama,Heavy,Light,PG-13,Light,How She Move,Light
43,Drama,Heavy,None,R,Light,Nixon,Medium
44,Drama,Medium,Light,PG-13,Light,The Curious Case Of Benjamin Button,Light
45,Drama,Heavy,Medium,R,Medium,Revolutionary Road,Medium
46,Science Fiction,Medium,None,PG,Light,Bedtime Stories,Light
47,Comedy,Medium,None,PG-13,Light,Four Christmases,Light
48,Comedy,Heavy,Light,PG-13,Light,He’S Just Not That Into You,None
49,Drama,Medium,Light,PG-13,Light,Seven Pounds,Medium
50,Action,Light,None,G,None,The Tale Of Despereaux,Medium
51,Comedy,Heavy,Light,PG-13,Medium,Yes Man,Light
52,Science Fiction,Light,Light,PG-13,None,The Day The Earth Stood Still,Medium
53,Drama,Medium,Light,PG-13,Light,Australia,Medium
54,Thriller,Light,None,PG,None,Valkyrie,Medium
55,Drama,Heavy,None,R,Heavy,Crossing Over,Heavy
56,Science Fiction,Light,None,PG,None,Harry Potter And The Half-Blood Prince,Medium
57,Comedy,Light,Light,PG,None,Old Dogs,Light
58,Drama,Medium,Medium,PG-13,Medium,Priceless,Light
59,Documentary,None,Light,G,Light,U2 3D,Light
60,Horror,Medium,None,PG-13,Light,One Missed Call,Heavy
61,Sport Drama,Light,None,G,None,Mighty Macs,Light
62,Documentary,Light,Light,Not Rated,Light,Finding Joe,Light
63,Science Fiction,Medium,Light,PG-13,Light,In Time,Heavy
64,Comedy,Heavy,Light,PG-13,Light,Tower Heist,Medium
65,Drama,Light,Light,R,Medium,J. Edgar,Light
66,Documentary,None,None,** DVD GUIDE **,Light,Nefarious:  Merchant Of Souls,Light
67,Thriller,Heavy,Light,R,Light,Killer Elite,Medium
68,Documentary,None,None,** DVD GUIDE **,None,Divided,None
69,Thriller,Heavy,Medium,R,Light,Drive,Heavy
70,Drama,Medium,None,PG-13,Light,Redemption Road,Light
71,Drama,None,None,Not Rated,Light,Footprints: Angels Are Real And Some Even Have Fur,Light
72,Comedy,Light,Heavy,R,Medium,"Happy, Happy",Light
73,Drama,Light,Light,PG-13,Light,Restless,Medium
74,Drama,Heavy,Medium,Not Rated,Light,Even The Rain,Medium
75,Drama,Heavy,Light,R,None,Take Shelter,Medium
76,Drama,Heavy,None,R,Medium,The Ides Of March,None
77,Drama,Heavy,Light,R,Light,The Descendants,Light
78,Mystery,Light,Light,PG-13,Light,Sherlock Holmes: A Game Of Shadows,Medium
79,Comedy,Heavy,Light,R,Medium,Young Adult,Light
80,Drama,None,None,PG,None,Hugo,Light
81,Comedy,Light,Medium,PG-13,Light,Saving Private Perez,Medium
82,Documentary,Light,None,PG-13,None,Senna,Light
83,Documentary,None,Light,TV-PG,None,Real Face Of Jesus,Light
84,Drama,Heavy,Light,R,Light,Machine Gun Preacher,Heavy
85,Drama,Light,None,G,None,Seven Days In Utopia,Light
86,Horror,Medium,None,R,Light,Don’T Be Afraid Of The Dark,Heavy
87,Drama,Medium,Medium,R,Light,Higher Ground,Light
88,Documentary,Heavy,Medium,R,Light,Magic Trip: Ken Kesey’S Search For A Kool Place,Light
89,Drama,Light,Medium,PG-13,Light,One Day,Light
90,Drama,None,None,Not Rated,Light,Mozart’S Sister,Light
91,Musical Documentary,Light,Light,Not Rated,Light,Passione:  A Musical Adventure,Light
92,Drama,Heavy,Heavy,R,Heavy,Gun Hill Road,Medium
93,Drama,Medium,Light,Not Rated,Light,The Myth Of The American Sleepover,Light
94,Comedy,Heavy,Light,R,Medium,A Little Help,Light
95,Thriller,Heavy,Heavy,R,Heavy,Good Neighbors,Heavy
96,Drama,Light,Light,PG,None,Breaking The Press,None
97,Thriller,Heavy,Medium,R,Heavy,The Ledge,Medium
98,Documentary,Medium,None,R,Light,Page One: Inside The New York Times,Medium
99,Documentary,Light,None,Not Rated,Light,Lakeland,Light
