,Genre,Language,Nudity,Rating,Sex,Title,Violence
0,Horror,Heavy,None,R,None,The Hills Have Eyes (2006),Heavy
1,Family,None,None,G,None,Doogal,Medium
2,Thriller,Heavy,Light,PG-13,None,16 Blocks,Medium
3,Thriller,Heavy,Heavy,R,Heavy,Running Scared,Heavy
4,Comedy,Heavy,None,R,Medium,Thank You For Smoking,Light
5,Documentary,Medium,None,PG-13,None,Why We Fight,Medium
6,Comedy,Heavy,Medium,PG-13,Light,Date Movie,Light
7,Drama,Light,Heavy,Not Rated,Heavy,Manderlay,Heavy
8,Thriller,Light,None,PG-13,None,When A Stranger Calls (2006),Light
9,Comedy,Light,None,PG-13,Light,The Pink Panther (2006),Medium
10,Horror,Heavy,Medium,R,Light,Final Destination 3,Heavy
11,Thriller,Heavy,None,PG-13,None,Firewall,Medium
12,Science Fiction,Medium,Medium,R,None,Night Watch,Heavy
13,Thriller,Heavy,Medium,TBD,Medium,Lucky Number Slevin,Heavy
14,Drama,Heavy,Medium,R,Heavy,London,Medium
15,Drama,Heavy,None,R,None,Freedomland,Medium
16,Wilderness Adventure,Light,Light,PG,None,Eight Below,Medium
17,Comedy,Medium,Light,PG-13,Light,Big Momma’S House 2,Light
18,Drama,Medium,Light,PG-13,Medium,Something New,None
19,Comedy,Light,Light,PG,None,Aquamarine,Light
20,Comedy,Heavy,Heavy,R,Heavy,Grandma’S Boy,Light
21,Fantasy Action Thriller,Medium,Medium,R,Medium,Underworld: Evolution,Heavy
22,Fantasy Thriller,None,Heavy,R,Medium,Bloodrayne,Heavy
23,Horror,Heavy,Heavy,R,Heavy,Hostel,Heavy
24,Fantasy Comedy,Light,None,PG,Light,Nanny Mcphee,Light
25,Comedy,Medium,None,PG-13,None,Looking For Comedy In The Muslim World,None
26,Comedy,Heavy,Light,PG-13,Light,Madea’S Family Reunion,Medium
27,Drama,Medium,None,Not Rated,None,Fateless,Medium
28,Drama,Medium,None,R for some strong foul language,None,Bubble,Light
29,Drama,Heavy,Light,R,None,Tsotsi,Heavy
30,Family,None,None,G,None,Curious George,Light
31,Drama,Heavy,Light,PG-13,Light,Annapolis,Medium
32,War Drama,Medium,Light,PG,Medium,Joyeaux Noel (Merry Christmas),Light
33,Drama,Medium,Light,PG,Light,Glory Road,Medium
34,Comedy,Heavy,Light,PG-13,Light,Last Holiday,Light
35,Drama,Light,None,PG-13,None,The Second Chance,Light
36,Drama,None,Light,PG-13,None,End Of The Spear,Medium
37,Drama,Light,Light,Not Rated Yet,None,Aimee Semple Mcpherson,Light
38,Drama,Heavy,None,R,Medium,Celeste And Jess Forever,None
39,Animated,Light,Light,PG,Light,Paranorman,Medium
40,Drama,Light,None,TV-G,None,Raising Izzie,Light
41,Drama,Heavy,Light,R,Light,Ruby Sparks,Medium
42,Documentary,Heavy,None,R,Light,The Imposter,Light
43,Documentary,Medium,None,PG-13,Light,Searching For Sugar Man,Light
44,Epic,None,None,Not Rated,None,Sacrifice,Heavy
45,Thriller,Heavy,Heavy,NC-17,Heavy,Killer Joe,Heavy
46,Drama,Medium,Heavy,R,Heavy,Take This Waltz,Light
47,Drama,Light,Medium,R,Heavy,Trishna,Medium
48,Drama,Light,Light,PG-13,Light,Step Up Revolution,Light
49,Drama,Light,None,Not Rated,Light,The Well Digger’S Daughter,Light
50,Documentary,None,Light,Not Rated,None,2016: Obama’S America,Light
51,Comedy,Heavy,Light,R,Light,Safety Not Guaranteed,Light
52,Comedy,Medium,None,PG-13,Medium,The Perfect Family,None
53,Comedy,Heavy,Light,R,None,The Do-Deca-Pentathlon,Light
54,Drama,Medium,None,PG,None,The Magic Of Belle Isle,Light
55,Documentary,Light,None,PG,Light,Neil Young Journeys,Light
56,Thriller,Heavy,Light,R,Light,Red Lights,Medium
57,Science Fiction,Medium,Light,PG-13,Light,Beasts Of The Southern Wild,Light
58,Comedy,Heavy,Medium,R,Medium,Lola Versus,None
59,Thriller,Heavy,Medium,R,Medium,Savages (2012),Heavy
60,Documentary,Medium,None,PG,Light,Katy Perry: Part Of Me,None
61,Comedy,Heavy,None,PG-13,Light,Tyler Perry’S Madea’S Witness Protection,Light
62,Documentary,None,None,PG-13,Light,U.N. Me,Medium
63,Comedy,Medium,Light,R,Medium,To Rome With Love,None
64,Drama,Heavy,None,R,Light,Seeking A Friend For The End Of The World,Medium
65,Comedy,Heavy,Medium,R,Medium,The Watch,Heavy
66,Comic Thriller,Heavy,Light,R,Light,The Perfect Host,Heavy
67,Drama,Heavy,Medium,R,Heavy,I Melt With You,Heavy
68,Comedy,Light,Light,PG-13,Medium,"No Eres Tu, Soy Yo (It’S Not You, It’S Me)",Light
69,Mystery,Light,Light,R,Light,Incendies,Heavy
70,Thriller,Medium,Medium,R,Heavy,The Girl With The Dragon Tattoo (2011),Heavy
71,Documentary,Medium,None,R,Light,Page One: Inside The New York Times,Medium
72,Comedy,Medium,Light,R,Medium,Everything Must Go,Light
73,Action,Medium,Light,PG-13,Light,The Dark Knight Rises,Medium
74,Comedy,Heavy,Medium,R,Medium,Ted,Medium
75,Family,None,Light,PG,None,Ice Age: Continental Drift,Light
76,Science Fiction,Light,None,PG-13,None,The Amazing Spider-Man,Medium
77,Comedy,Heavy,Heavy,R,Heavy,Magic Mike,Light
78,Horror,Medium,Light,R,Medium,Abraham Lincoln: Vampire Hunter,Heavy
79,Action,None,Light,PG,None,Brave,Medium
80,Drama,Heavy,Light,PG-13,Light,Cassandra’S Dream,Light
81,Animated,None,None,** CHRISTIAN DVD GUIDE **,None,The William Booth Story,Light
82,Drama,None,Light,R,Light,The Son Of No One,None
83,Documentary,Light,Medium,Christian DVD Guide,Medium,Freedom Of What?Cott:  A Documentary,None
84,Thriller,Medium,None,PG-13,Light,The Double,Medium
85,Thriller,Heavy,Medium,R,Medium,Tinker Tailor Soldier Spy,Heavy
86,Drama,Light,Light,R,Medium,W.E.,Medium
87,Drama,Heavy,Heavy,NC-17,Heavy,Shame,Heavy
88,Gangster Movie,Heavy,Medium,R,Medium,Outrage,Heavy
89,Drama,Heavy,Medium,R,Heavy,Rampart,Medium
90,Dramas,Heavy,Light,R,Light,My Week With Marilyn,None
91,Science Fiction,Light,Light,PG-13,Medium,"The Twilight Saga: Breaking Dawn, Part 1",Medium
92,Drama,Medium,None,R,Medium,Oranges And Sunshine,Light
93,Thriller,Light,Medium,R,Medium,The Heir Apparent:  Largo Winch,Heavy
94,Drama,Heavy,Light,Not Rated,Light,Janie Jones,Light
95,Drama,Heavy,Heavy,R,Heavy,Weekend,None
96,Drama,Medium,Medium,R,Medium,Melancholia,Light
97,Action,Light,Light,PG-13,Light,Detective Dee And The Mystery Of The Phantom Flame,Medium
98,Thriller,Medium,Heavy,R,Heavy,The Skin I Live In,Heavy
99,Adventure,None,Medium,R,Light,Immortals,Heavy
