author,account_category,followers
AMELIEBALDWIN,RightTroll,2860
HUNTERODDDDOM,LeftTroll,2856
CHESTERCITYNEWS,NewsFeed,2844
RICHMONDVOICE,NewsFeed,2826
YOUJUSTCTRLC,LeftTroll,2769
EVANNGHARTR,RightTroll,2759
ELLASTRS,RightTroll,2740
EVAGREEN69,RightTroll,2731
YOUJUSTCTRLC,LeftTroll,2727
MUSLIMS_IN_USA,LeftTroll,2727
RESISTERSUNION,LeftTroll,2724
DEUSXYX,RightTroll,2708
CATELINEWATKINS,HashtagGamer,2699
CAMELIISRT,RightTroll,2690
TESS_SNIDER,HashtagGamer,2685
JACKSONCITYPOST,NewsFeed,2650
COVFEFENATIONUS,RightTroll,2646
CHIRRISMOGUI,RightTroll,2645
CARIISNCISTR,RightTroll,2635
ARCHIEOLIVERS,RightTroll,2629
LAZYKSTAFFORD,RightTroll,2618
CAMOSASEKO,LeftTroll,2615
LGBTUNITEDCOM,LeftTroll,2595
TONEPORTER,HashtagGamer,2587
HOLYCRAPCHRIX,HashtagGamer,2585
STANLEY_COX_,RightTroll,2583
BLACNEIGHBOR,LeftTroll,2569
JARRARDNORMAN,HashtagGamer,2543
LYNSRODRIGUEZ,HashtagGamer,2483
TRYTOFINDITOUT,HashtagGamer,2457
PRICEFORPIERCE,RightTroll,2413
CARRIETHORNTHON,RightTroll,2388
SADIEEATONN,LeftTroll,2382
CAMEERICLAAR,RightTroll,2376
OLIVIADWARREN,LeftTroll,2376
CAARMBUTL,RightTroll,2349
HYDDROX,RightTroll,2283
ROBERTHUGHESS,LeftTroll,2261
BEEBCLAPTT,RightTroll,2203
PAOLAKINCK,RightTroll,2203
PAMELA_SHARKY13,RightTroll,2195
PATRIOTBLAKE,RightTroll,2190
WILLIAMS8KALVIN,LeftTroll,2189
CHEELSYJOTRS,RightTroll,2177
JANSKEESTR,RightTroll,2171
JACQUELINISBEST,RightTroll,2166
CANDISMBRR,RightTroll,2161
CASSISHERE,RightTroll,2158
CANDEYCHANEY,HashtagGamer,2155
REALROBERT1987,RightTroll,2115
LEROYLOVESUSA,RightTroll,2098
WILLIAMS_DIANA_,RightTroll,2097
EMILEEWAREN,RightTroll,2097
CADDEETRS,RightTroll,2074
CHARMEESTRS,RightTroll,2073
JUSMASXTRT,RightTroll,2036
MIL0BLAKE,RightTroll,2020
RH0LBR00K,RightTroll,2020
FIGHTTORESIST,LeftTroll,2009
DOROTHIEBELL,RightTroll,1989
HOLLYDLER,RightTroll,1949
LILAASTRS,RightTroll,1915
SKWAD55_LABEL,LeftTroll,1906
PRETTYLARAPLACE,RightTroll,1886
RYANMAXWELL_1,RightTroll,1886
LUCYTRUMPTTOP56,RightTroll,1865
ANIIANTRS,RightTroll,1857
MARISSAIMSTRONG,RightTroll,1852
DANISSTRS,RightTroll,1839
ELINSSTR,RightTroll,1838
JUDELAMBERTUSA,RightTroll,1833
HAPPKENDRAHAPPY,RightTroll,1829
BRRISTASI,RightTroll,1767
CECIIISTATS,RightTroll,1764
CHIRRMORRE,RightTroll,1749
DONNABRIVERA,RightTroll,1742
DEVINEDEVINBR,RightTroll,1733
GARRETTSIMPSON_,RightTroll,1730
KELVIN_CHAMBERS,RightTroll,1718
ACAB_ZONE,LeftTroll,1716
JEFFREYKAHUNAS,RightTroll,1706
LUCASSTARBRAND,HashtagGamer,1704
BRIIGEVASTR,RightTroll,1683
INTERFISCHER,RightTroll,1678
BROSELIFOTR,RightTroll,1674
WESTERNWINDWES,RightTroll,1669
NEWYORKDEM,LeftTroll,1669
COOKNCOOKS,RightTroll,1663
_NICKLUNA_,RightTroll,1660
MARISSPRT,RightTroll,1650
KATERITTERRRR,RightTroll,1607
CELLESTINS,RightTroll,1568
FINLEY1589,RightTroll,1559
ARAGARTRR,RightTroll,1550
MARRISSATRR,RightTroll,1547
ALDRICH420,RightTroll,1541
CHARRISSTR,RightTroll,1538
CHAASNTR,RightTroll,1534
WADEHARRIOT,RightTroll,1515
POLICESTATEME,LeftTroll,1513
CELLSSTITR,RightTroll,1508
CHESPLAYSCHESS,RightTroll,1490
HEYITS_TOBY,RightTroll,1458
DALTONWOOD14,HashtagGamer,1450
PATRIOTRAPHAEL,RightTroll,1416
JESSIE_JESSIE_C,Unknown,1388
KARENPARKER93,RightTroll,1384
AFEELIUTR,RightTroll,1379
EMMAJACKT,RightTroll,1371
GLOBALFOE,LeftTroll,1351
NOMO_TUNES,Unknown,1345
EMELDDTRS,RightTroll,1335
KAHALEETR,RightTroll,1322
CHICAGOBL,LeftTroll,1313
BARBARAFORTRUMP,RightTroll,1297
LAWWAANCTR,RightTroll,1283
AMCONVOICE,RightTroll,1283
PATI_COOPER,RightTroll,1265
CLAARISRTR,RightTroll,1259
BRANDNEWJENNA,HashtagGamer,1247
MARIALOPTRUMP,RightTroll,1231
CALIFRONIAREP,LeftTroll,1231
IMOGEENTR,RightTroll,1207
CATTSADSTR,RightTroll,1201
LUZMARTRUMPPT,RightTroll,1189
DARCYYSTR,RightTroll,1178
VA_BLACKNEWS,LeftTroll,1161
GALLOWAYELIANA,LeftTroll,1158
ARABMTR,RightTroll,1155
IIDDAAMARKS,LeftTroll,1149
ALBERTMORENMORE,RightTroll,1148
DAILYNEWSDENVER,NewsFeed,1145
ISRAEL_WILLS,RightTroll,1120
BAOBAEHAM,LeftTroll,1120
JADONHUTCHINSON,LeftTroll,1119
GWENNYTHOT,LeftTroll,1109
JANELPERKINSON,LeftTroll,1105
JUSTICE_4_JAMAR,LeftTroll,1101
DAPNESSTR,RightTroll,1100
ANDIOSMARRTRUMP,RightTroll,1094
QUEENNARIELLE,LeftTroll,1093
LIRASTERTTRUMP,RightTroll,1089
LAURABAELEY,RightTroll,1087
AANTIRACIST,LeftTroll,1074
VEROSANRRT,RightTroll,1065
SUSAYUNG,LeftTroll,1061
BRISSTOFLR,RightTroll,1054
BEEATRWL,RightTroll,1048
JEANUTTELLA,LeftTroll,1043
THELMMISB,RightTroll,1034
PAMBLMDANIELS,LeftTroll,1020
CARLLTHERITR,RightTroll,1006
MAYMAYMYY,LeftTroll,999
MAYLUUSSTR,RightTroll,996
FINNAGLO,LeftTroll,989
MELANYMELANIN,LeftTroll,981
ADAMCHAPMANJR,LeftTroll,974
CLAYPAIGEBOO,LeftTroll,969
CLIFTONHUGHES_,LeftTroll,961
IMASWERVE,LeftTroll,959
