author,account_category,tweets
CORNELLBURCHET,LeftTroll,3945
RAMONASNAILS,LeftTroll,3889
CAMOSASEKO,LeftTroll,3884
MR_CLAMPIN,HashtagGamer,3836
QUEENOFTHEWO,HashtagGamer,3820
PAULINETT,LeftTroll,3809
HELLIEEDWARDS,HashtagGamer,3790
JASPER_FLY,HashtagGamer,3745
DOROTHIEBELL,RightTroll,3736
ONEMIGHTYFISH,LeftTroll,3725
SOUTHLONESTAR,RightTroll,3673
ILOVESARAHRICH,LeftTroll,3665
LAGONEHOE,LeftTroll,3637
DAILEYJADON,HashtagGamer,3626
NOJONATHONNO,LeftTroll,3614
CALEBPAAR,HashtagGamer,3604
BLMSOLDIER,LeftTroll,3579
LILAASTRS,RightTroll,3575
HEYITS_TOBY,RightTroll,3569
LAURABAELEY,RightTroll,3540
MICHELLEARRY,RightTroll,3517
ALDRICH420,RightTroll,3496
EISSYT56T,RightTroll,3456
CARRIETHORNTHON,RightTroll,3426
CASCASEYP,HashtagGamer,3407
MONEYFORM,RightTroll,3397
JEFFREYKAHUNAS,RightTroll,3377
YOUJUSTCTRLC,LeftTroll,3336
MARISSAIMSTRONG,RightTroll,3315
FAMEONYOUBITCH,HashtagGamer,3314
DONNABRIVERA,RightTroll,3299
ALEXXDRTRR,RightTroll,3286
RANDOLPHBURRR,LeftTroll,3276
BABYJANNYMEOW,HashtagGamer,3267
DICKYIRWIN,HashtagGamer,3259
USA_GUNSLINGER,RightTroll,3246
WARFAREWW,NewsFeed,3219
RYANMAXWELL_1,RightTroll,3212
DAILYNEWSDENVER,NewsFeed,3201
HOLLANDPATRICKK,RightTroll,3177
AIDEN7757,HashtagGamer,3142
BRIGHTANDGLORY,HashtagGamer,3117
ELIASBRICK,LeftTroll,3080
ANNIEPOSHES,HashtagGamer,3044
AMBERLINETR,RightTroll,3025
LYNDAWKING,HashtagGamer,2985
ADRIENNE_GG,HashtagGamer,2900
LAZYKSTAFFORD,RightTroll,2872
ALBUQUERQUEON,NewsFeed,2835
PRICEFORPIERCE,RightTroll,2826
CHRIXCHASE,HashtagGamer,2802
EVAGREEN69,RightTroll,2792
ERICARUTTER,HashtagGamer,2774
JUDELAMBERTUSA,RightTroll,2770
THELMMISB,RightTroll,2768
PUREDAVIE,HashtagGamer,2741
CAARMBUTL,RightTroll,2732
CARIISNCISTR,RightTroll,2711
DANNYTHEHAPPIES,HashtagGamer,2706
JERY_ROBERTSYO,LeftTroll,2702
CLAUDIA42KERN,HashtagGamer,2692
HIPPPO_,HashtagGamer,2691
IMAPHARRELFAKE,LeftTroll,2685
CHEELSYJOTRS,RightTroll,2684
BRUCIEDUBLIN,HashtagGamer,2683
CHIRRISMOGUI,RightTroll,2678
CECIIISTATS,RightTroll,2676
BRISSTOFLR,RightTroll,2676
CAMELIISRT,RightTroll,2675
CANDISMBRR,RightTroll,2672
CHIRRMORRE,RightTroll,2671
CASSANDRDR,RightTroll,2667
GAB1ALDANA,HashtagGamer,2661
BIGBOYJASIAH,LeftTroll,2660
CHARMEESTRS,RightTroll,2657
CELLESTINS,RightTroll,2641
CAMEERICLAAR,RightTroll,2637
BRRISTASI,RightTroll,2627
CARLLTHERITR,RightTroll,2615
JEANNEMCCARTHY0,RightTroll,2600
CHARLESJHARPER,HashtagGamer,2592
BROSELIFOTR,RightTroll,2590
JEANETTEDBOLDEN,HashtagGamer,2588
CADDEETRS,RightTroll,2583
KENCANNONE,HashtagGamer,2559
KELVIN_CHAMBERS,RightTroll,2555
KANIJJACKSON,LeftTroll,2547
ANAAISLEC,RightTroll,2535
MIL0BLAKE,RightTroll,2527
BRIIGEVASTR,RightTroll,2499
BLACKNEWSOUTLET,LeftTroll,2485
HOLYCRAPCHRIX,HashtagGamer,2485
DARKNALLY,NewsFeed,2451
DAPNESSTR,RightTroll,2448
DONNIELMILLER,HashtagGamer,2413
DEUSXYX,RightTroll,2398
MALLORYJARED,LeftTroll,2361
STANLEY_COX_,RightTroll,2357
ARABMTR,RightTroll,2334
WOKELUISA,LeftTroll,2295
CASSIEWELTCH,HashtagGamer,2249
ARCHIEOLIVERS,RightTroll,2230
HEYHEYHAILEY,HashtagGamer,2206
VEROSANRRT,RightTroll,2140
DAILYSANJOSE,NewsFeed,2129
BEEATRWL,RightTroll,2128
CAADEENRRS,RightTroll,2125
BLMSOLDIER,LeftTroll,2124
DARCYYSTR,RightTroll,2116
INTERFISCHER,RightTroll,2104
WESTERNWINDWES,RightTroll,2086
SICCERTHANYOU,LeftTroll,2046
ELIANLINDSEY,HashtagGamer,2017
MATEVIDENCE,NewsFeed,1994
JEMISHAAAZZZ,LeftTroll,1925
LUGHHALLEY,HashtagGamer,1917
DEVINEDEVINBR,RightTroll,1904
ADRGREERR,LeftTroll,1897
ARTEMSSFE,RightTroll,1857
ANDYDREWDANIELS,HashtagGamer,1852
TPARTYNEWS,RightTroll,1843
PATRIOTOTUS,RightTroll,1827
ROSIEONFLEEK,LeftTroll,1826
JARRARDNORMAN,HashtagGamer,1809
TONEPORTER,HashtagGamer,1807
MEGGIEONEIL,HashtagGamer,1746
JUSMASXTRT,RightTroll,1741
GALLOWAYELIANA,LeftTroll,1732
ABIGAILSSILK,HashtagGamer,1714
TRAVISRESPEK,LeftTroll,1706
HIIMKHLOE,LeftTroll,1705
DAMANIMILES,LeftTroll,1681
BLACKEYEBLOG,LeftTroll,1666
ALIISTRR,RightTroll,1632
REDLANEWS,RightTroll,1540
FINNAGLO,LeftTroll,1527
REALROBERT1987,RightTroll,1521
LUCYTRUMPTTOP56,RightTroll,1517
ADAMCHAPMANJR,LeftTroll,1499
IMOGEENTR,RightTroll,1490
EMMAJACKT,RightTroll,1488
KAYDENMELTON,LeftTroll,1485
JOHNIEBOYCOOKS,LeftTroll,1483
CATELINEWATKINS,HashtagGamer,1482
DEBORRTH,RightTroll,1465
CLYDEDAWS0N,RightTroll,1453
ANDIOSMARRTRUMP,RightTroll,1445
