Country,Year,Top_1,Tax_Rev_to_GDP,1100,1200,2100,2200,2300,4100,4300,4400,4600,5100,5110,5120,5121,5200,6000,Top_1_AR1,Top_1_AR2,Tax_Rev_Change,Top_Marginal_Rate,GDP,TMC_SE,TMC_to_GDP,TMC_SE_Change,TMC_to_GDP_Change
United States,1965,,23.5,31.66888194369604,16.399037252577504,5.064602267964698,7.605584893008106,0.6166852270958316,13.72154566464298,2.063799978445953,0.09819065751817124,0.0,19.937493264360377,4.7993677479613455,15.138125516399036,12.69832716648106,2.824178850690328,0.0,,,-46.73617407071622,70.0,742.29025,849.2083157124997,1.1440380844454037,,
United States,1966,0.1264099926,23.767,32.36610861795609,17.25741004487679,5.489479482976379,7.771477709402628,0.4982129900841104,13.258807406014027,2.082605541074356,0.11447612393518393,0.0,18.33714024668799,4.982129900841104,13.355010345846882,10.999919383011312,2.8242818369924487,0.0,,,1.136170212765955,70.0,813.41375,776.7798261291665,0.9549627432892136,-8.528942574303986,-16.527014592162658
United States,1967,0.1214499995,24.844,32.3089314737483,17.354741893880913,6.424965360514343,8.510046649438818,0.8514841041917373,12.599663433648008,1.8089242821595863,0.11410654098965853,0.0,17.437205444512095,4.880212103923252,12.556993340588846,10.237945698710787,2.5899308169165343,0.0,0.1264099926,,4.53149324693904,70.0,859.95625,866.2010964151042,1.0072618187438074,11.51179102211497,5.476556632404122
United States,1968,0.1241899952,24.288,34.79780260997242,14.263366617419027,6.526760679342978,8.369659184989684,0.7062385933776409,12.691711302104535,1.7944132136143045,0.189824492391011,0.0,17.948706220297037,5.3480191928571115,12.600687027439935,10.253724448022394,2.7115170864913574,0.0,0.1214499995,0.1264099926,-2.2379649009821323,75.25,940.6465,939.5130087744791,0.9987949870376162,8.463613433738008,-0.8405790380052841
United States,1969,0.1151100025,26.606,36.793030122232935,15.24393042360824,6.349534168617192,8.057200116266616,0.6559120045282788,11.731072253583612,1.7160799791943946,0.19925956522404276,0.0,16.930561292395243,5.3884222925941225,11.542138999801125,9.311655728425656,2.3234200743494418,0.0,0.1241899952,0.1214499995,9.54380764163372,77.0,1017.615,925.84249839375,0.9098160880035672,-1.4550634480900857,-8.908624911900741
United States,1970,0.1079299971,25.721,36.5945498632226,13.214106321392565,6.911866207489691,8.47333292378409,0.7017746732339092,12.306352470123985,1.6771041495770196,0.16875837919682574,0.0,17.58194899666458,5.846556353373543,11.73539264329104,9.460948877413477,2.3702060153147326,0.0,0.1151100025,0.1241899952,-3.3263173720213417,71.75,1073.3105,777.7275078734375,0.7246062606053304,-15.997860411169095,-20.35684242566512
United States,1971,0.1108400002,23.869,35.22160595254325,10.846744971980856,7.285336050341183,9.002360639740546,0.6988641663497621,13.579777425395891,1.7360388608657589,0.16108316770587433,0.0,18.89910955807963,6.412114602242968,12.486994955836662,9.92903730384806,2.5690792069972517,0.0,0.1079299971,0.1151100025,-7.200342132887523,70.0,1164.84975,921.0612317098959,0.7907124774760829,18.429812805307588,9.123053507090576
United States,1972,0.1111899987,24.414,35.14569246640753,11.702029122523484,7.208766780265162,8.979178577474281,0.6493319833530826,13.457109913731154,2.149534799786644,0.18429146797576426,0.0,18.033734601122354,6.506095671865367,11.527638929256987,8.9430868341792,2.490330287360544,0.0,0.1108400002,0.1079299971,2.2832963257782133,70.0,1279.112,1028.1658333333332,0.8038122020068088,11.628391027228885,1.6566988512107017
United States,1973,0.1101899967,24.416,34.77955469417478,11.942579287487742,7.690785965354907,9.807508156677006,0.6797708676181355,12.982448092570396,1.8199854355292808,0.18119577745030016,0.0,17.705866499997132,6.618233111808117,11.087633388189015,8.642063796968984,2.4103052231403064,0.0,0.1111899987,0.1108400002,0.00819202097156915,70.0,1425.376,952.6516666666664,0.6683511344842811,-7.344551259970237,-16.85232784278888
United States,1974,0.1055200025,25.151,35.56073542775876,11.476297806141572,8.168310477432474,10.435075036838134,0.7721888782210904,12.259782000400472,1.6593846106453218,0.1432451442976624,0.0,17.082625236816572,6.786944668354121,10.295680568462453,8.016850557834585,2.4423553814479573,0.0,0.1101899967,0.1111899987,3.010321100917429,70.0,1545.2425,713.1416666666668,0.4615079294458097,-25.141403556039176,-30.94828367398186
United States,1975,0.1058299989,24.595,34.64801413624918,11.385313900805516,8.758600434294847,10.891315547466695,0.8223676291449399,12.395940161680945,1.4514210878556333,0.1003885542603747,0.0,17.073276422411926,7.038754315263394,10.034522107148529,7.591011733664592,2.473362125829952,0.0,0.1055200025,0.1101899967,-2.210647687964697,70.0,1684.905,763.7566666666665,0.4532936080471401,7.09746777755704,-1.7798873810323443
United States,1976,0.1040600017,23.968000000000004,34.72668810289389,10.831590806569528,8.60500825524369,10.92047633756058,0.7817482450662976,12.666410380052307,1.4952768450969631,0.12132874980278525,0.0,17.33223411560008,7.153729747987299,10.178504367612776,7.489717055133473,2.519238162113876,0.0,0.1058299989,0.1055200025,-2.5492986379345206,70.0,1873.4125,903.0466666666664,0.4820330101708334,18.237484015415028,6.340129579039777
United States,1977,0.1075100005,25.215,35.35752989714242,12.195942734376485,8.476719204517368,11.243226800007603,0.7631613970378537,11.889461376124112,1.7362206969979277,0.11996881951442097,0.0,15.889119151282392,6.904005931897258,8.985113219385132,6.732323136300549,2.32864992299941,0.0,0.1040600017,0.1058299989,5.202770360480625,70.0,2081.825,892.0633333333333,0.42850063445934855,-1.2162531282990192,-11.105541442589777
United States,1978,0.1062999964,24.963,36.406289045168734,12.03241418350018,8.581564985610129,11.559154864932404,0.7255282944135342,11.291246572524779,1.2115370558306604,0.12698445077950093,0.0,15.768000938358993,7.050101910546509,8.717899027812487,6.398350392087866,2.295069705453872,0.0022099034272202306,0.1075100005,0.1040600017,-0.9994051160023752,70.0,2351.59875,913.2808333333332,0.3883659290656338,2.3784746225043785,-9.366311777893603
United States,1979,0.1115000024,25.17,38.3623714942515,11.84690552270954,8.780125551116273,11.767058756050773,0.7596763262638507,9.80243585466983,1.1145340737397722,0.13327919652115638,0.0,15.201526295849627,7.02742110037599,8.174105195473642,5.940206997837043,2.2299737818839915,0.0021131469437102933,0.1062999964,0.1075100005,0.8292272563393852,70.0,2627.32625,1069.933870967742,0.4072329696274843,17.152778413475474,4.8580576074844055
