DATE,WILL5000PRFC
1972-01-01,1028.1658333333333333
1973-01-01,952.6516666666666667
1974-01-01,713.1416666666666667
1975-01-01,763.7566666666666667
1976-01-01,903.0466666666666667
1977-01-01,892.0633333333333333
1978-01-01,913.2808333333333333
1979-01-01,1069.9338709677419355
1980-01-01,1221.3278571428571429
1981-01-01,1343.6964822134387352
1982-01-01,1233.6875494071146245
1983-01-01,1688.2769565217391304
1984-01-01,1644.6352569169960474
1985-01-01,1923.8406349206349206
1986-01-01,2418.8314229249011858
1987-01-01,2843.6642292490118577
1988-01-01,2636.8709090909090909
1989-01-01,3172.6284523809523810
1990-01-01,3187.4067984189723320
1991-01-01,3604.6006324110671937
1992-01-01,4041.0993307086614173
1993-01-01,4468.0389328063241107
1994-01-01,4571.2725000000000000
1995-01-01,5337.0717857142857143
1996-01-01,6575.2272440944881890
1997-01-01,8350.4784584980237154
1998-01-01,10140.075158730159
1999-01-01,12165.045952380952
2000-01-01,13406.793849206349
2001-01-01,11021.522661290323
2002-01-01,9371.3842460317460317
2003-01-01,9272.4254365079365079
2004-01-01,11038.579920634921
2005-01-01,11992.523849206349
2006-01-01,13189.065059760956
2007-01-01,14915.347768924303
2008-01-01,12348.741778656126
2009-01-01,9721.3989285714285714
2010-01-01,11966.642976190476
2011-01-01,13398.819682539683
2012-01-01,14459.292240000000
2013-01-01,17420.765079365079
2014-01-01,20470.685079365079
2015-01-01,21681.432500000000
2016-01-01,21695.012460317460
