,Release_Date,Title,Production_Budget,Domestic_Gross,Worldwide_Gross
669,2/1/2013,A Haunting in Connecticut 2: The Ghosts of Georgia,9000000,0,0
670,5/18/2012,Polisse,8900000,176988,22744132
671,11/13/2015,Heist,8900000,50136,3324184
672,2/26/2011,Ultramarines,8900000,0,0
673,9/26/1986,Crocodile Dundee,8800000,174803506,328203506
674,12/31/2004,The I Inside,8800000,0,0
675,11/30/2007,Awake,8600000,14373825,32968648
676,11/18/2016,Manchester by the Sea,8500000,47695371,77761947
677,12/16/2009,Crazy Heart,8500000,39471742,47417251
678,8/15/2008,Star Wars: The Clone Wars,8500000,35161554,68695443
679,2/20/2015,The DUFF,8500000,34030343,43528634
680,10/31/2014,Nightcrawler,8500000,32381218,50334418
681,7/31/1987,The Lost Boys,8500000,32222567,32222567
682,11/7/1979,The Rose,8500000,29200000,29200000
683,9/27/2013,Baggage Claim,8500000,21569509,22885836
684,10/7/2016,Middle School: The Worst Years of My Life,8500000,20007149,23311425
685,3/1/1991,Haakon Haakonsen,8500000,15024232,15024232
686,4/23/1999,Election,8500000,14943582,17202854
687,3/9/2007,The Namesake,8500000,13610521,20288774
688,10/18/2013,All is Lost,8500000,6263670,10386814
689,2/27/2004,Club Dread,8500000,5001655,7573551
690,9/17/2009,Bright Star,8500000,4444637,17220091
691,9/21/2001,Glitter,8500000,4273372,4273372
692,6/13/2014,The Rover,8500000,1109199,3180252
693,4/23/2004,Silmido,8500000,298347,30298347
694,11/7/2008,Repo! The Genetic Opera,8500000,140244,198883
695,12/31/2017,ÐÐÐ¡ÐÐÐÐÐÐ ÐÐÐÐÐ¢Ð«Ð Ð¬,8500000,0,30618274
696,11/1/2016,A.C.O.R.N.S.: Operation Crackdown,8500000,0,1354154
697,2/12/2010,My Name is Khan,8470000,4046336,42355526
698,3/23/2007,Namastey London,8400000,1207007,6831069
699,5/31/2013,Yeh Jawaani Hai Deewani,8300000,3827466,50827466
700,6/4/1999,Limbo,8300000,2160710,2598224
701,3/16/2007,The Wind That Shakes the Barley,8300000,1829142,25670174
702,4/16/2010,The City of Your Final Destination,8300000,493296,1353296
703,11/24/2006,Kurtlar vadisi - Irak,8300000,0,24906717
704,2/23/1951,Quo Vadis?,8250000,30000000,30027366
705,3/2/1965,The Sound of Music,8200000,163214286,286214286
706,2/17/1984,Footloose,8200000,80000000,80000000
707,10/14/1994,Pulp Fiction,8000000,107928762,212928762
708,6/22/1984,The Karate Kid,8000000,90815558,90815558
709,6/22/1979,The Muppet Movie,8000000,76657000,76657000
710,3/9/1984,Splash,8000000,62599495,62599495
711,7/26/2006,Little Miss Sunshine,8000000,59891098,100642353
712,9/17/2010,Easy A,8000000,58401464,76200721
713,8/8/1986,Stand by Me,8000000,52287414,52287414
714,6/27/2003,28 Days Laterâ¦,8000000,45064915,82955633
715,6/22/1979,Escape from Alcatraz,8000000,43000000,43000000
716,1/30/2004,You Got Served,8000000,40066497,50811858
717,9/30/2011,50/50,8000000,35016118,41334735
718,4/3/1996,A Thin Line Between Love & Hate,8000000,34873513,34873513
719,10/11/2002,Brown Sugar,8000000,27362712,28315272
720,3/13/1992,Howards End,8000000,26124872,26317943
721,1/31/2014,That Awkward Moment,8000000,26068955,53068955
722,3/21/2008,Shutter,8000000,25928550,47782426
723,12/25/1981,Modern Problems,8000000,24474312,24474312
724,12/18/1969,On Her Majesty's Secret Service,8000000,22800000,82000000
725,5/7/1993,Much Ado About Nothing,8000000,22549338,22549338
726,4/10/1992,The Player,8000000,21706101,28876702
727,11/10/1982,Creepshow,8000000,20036244,20036244
