,Release_Date,Title,Production_Budget,Domestic_Gross,Worldwide_Gross
0,10/3/1997,Kiss the Girls,27000000,60527873,60527873
1,6/20/1980,The Blues Brothers,27000000,57229890,57229890
2,12/25/1994,The Jungle Book,27000000,44342956,44342956
3,8/6/2008,The Sisterhood of the Traveling Pants 2,27000000,44089964,44270131
4,5/13/2016,Money Monster,27000000,41012075,93469699
5,5/17/2002,About a Boy,27000000,40803000,130759651
6,8/19/2011,Spy Kids: All the Time in the World,27000000,38536376,80681183
7,7/16/1999,Lake Placid,27000000,31770413,31770413
8,4/7/2006,Lucky Number Slevin,27000000,22495466,55495466
9,10/21/1983,The Right Stuff,27000000,21500000,21500000
10,7/20/1984,Die Unendliche Geschichte,27000000,21300000,21300000
11,2/27/1998,Dark City,27000000,14435076,27257061
12,9/19/2008,The Duchess,27000000,13848978,45160110
13,10/1/2010,Case 39,27000000,13261851,28773827
14,6/10/2005,The Honeymooners,27000000,12834849,13174426
15,6/21/1985,Return to Oz,27000000,10618813,10618813
16,3/27/1998,The Newton Boys,27000000,10341093,10341093
17,8/27/2004,Suspect Zero,27000000,8712564,8712564
18,11/2/2007,Martian Child,27000000,7500310,9352089
19,10/18/2002,Formula 51,27000000,5204007,5204007
20,11/24/1999,Flawless,27000000,4485485,4485485
21,5/13/2005,Mindhunters,27000000,4476235,16566235
22,10/17/2008,What Just Happened,27000000,1090947,2412123
23,12/12/2003,The Statement,27000000,765637,1545064
24,12/31/2006,The Magic Flute,27000000,0,0
25,11/23/2016,Rules Donât Apply,26700000,3652206,3871448
26,1/16/2009,Paul Blart: Mall Cop,26000000,146336178,185904750
27,8/6/2003,Freaky Friday,26000000,110222438,160822438
28,8/19/2005,The 40 Year-old Virgin,26000000,109449237,177344230
29,12/11/1998,Shakespeare in Love,26000000,100317794,279500000
30,12/21/1990,Kindergarten Cop,26000000,91457688,202000000
31,8/6/2008,Pineapple Express,26000000,87341380,102404019
32,12/22/1993,Philadelphia,26000000,77324422,201324422
33,7/31/1998,Ever After: A Cinderella Story,26000000,65705772,65705772
34,8/10/1990,Flatliners,26000000,61308153,61308153
35,8/15/2003,Open Range,26000000,58331254,68613992
36,8/19/2005,Red Eye,26000000,57891803,96666486
37,12/9/2011,New Yearâs Eve,26000000,54544638,146850273
38,6/15/1977,A Bridge Too Far,26000000,50800000,50800000
39,4/26/2013,Pain & Gain,26000000,49875291,81275291
40,1/31/2003,Final Destination 2,26000000,46896664,90396664
41,12/22/2000,"O Brother, Where Art Thou?",26000000,45506619,75763814
42,12/29/2004,In Good Company,26000000,45489752,63489752
43,1/22/2010,Legion,26000000,40168080,67647574
44,8/29/2012,Lawless,26000000,37397291,54393637
45,3/29/2002,Clockstoppers,26000000,36985501,38788828
46,7/10/1985,Silverado,26000000,33200000,33200000
47,12/4/2009,Brothers,26000000,28544157,45043870
48,10/17/2014,The Best of Me,26000000,26766213,41059418
49,3/12/2004,Agent Cody Banks 2: Destination London,26000000,23514247,28703083
50,8/3/2001,Original Sin,26000000,16521410,16521410
51,4/27/2012,The Raven,26000000,16008272,30601801
52,2/20/2004,Welcome to Mooseport,26000000,14469428,14469428
53,1/27/1995,Highlander III: The Sorcerer,26000000,13738574,13738574
54,7/10/2015,Self/Less,26000000,12279691,33713827
55,8/24/2001,The Curse of the Jade Scorpion,26000000,7496522,18496522
56,10/18/2013,The Fifth Estate,26000000,3254172,6154172
57,2/21/1997,Blood and Wine,26000000,1083350,1083350
58,3/21/2014,Blood Ties,26000000,42472,2923959
59,8/24/1997,The Grimm Brothers' Snow White,26000000,5000,5000
60,6/30/2015,Viy,26000000,0,34246770
61,3/17/2015,Accidental Love,26000000,0,135436
62,4/24/2015,The Face of an Angel,26000000,0,0
63,5/17/1996,Flipper,25530000,20080020,30593313
64,8/31/2005,The Constant Gardener,25500000,33579798,86301599
65,10/17/2008,W.,25100000,25534493,28575778
66,2/25/2004,The Passion of the Christ,25000000,370782930,622341924
67,11/24/1993,Mrs. Doubtfire,25000000,219195051,441286003
68,12/16/1988,Rain Man,25000000,172825435,412800000
69,8/10/2011,The Help,25000000,169705587,213120004
70,12/25/2016,Hidden Figures,25000000,169607287,231800856
71,12/12/2008,Gran Torino,25000000,148095302,274543085
72,1/30/2009,Taken,25000000,145000989,226941585
73,1/17/2014,Ride Along,25000000,134202565,153733800
74,11/25/1992,The Bodyguard,25000000,121945720,410900000
75,12/15/1993,Schindler's List,25000000,96067179,321365567
76,7/2/2003,"Legally Blonde 2: Red, White & Blonde",25000000,90639088,125339088
77,3/26/2004,Scooby-Doo 2: Monsters Unleashed,25000000,84185387,181185387
78,7/9/2004,Anchorman: The Legend of Ron Burgundy,25000000,84136909,89476265
79,8/15/2003,Freddy vs. Jason,25000000,82622655,114576403
80,2/16/2007,Bridge to Terabithia,25000000,82234139,137984788
81,12/21/2001,Jimmy Neutron: Boy Genius,25000000,80936232,102992536
82,1/18/2008,Cloverfield,25000000,80048433,171302226
83,2/5/2010,Dear John,25000000,80014842,142033509
84,3/22/1991,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,25000000,78656813,78656813
85,12/25/2012,Parental Guidance,25000000,77267296,120832383
86,6/3/1987,The Untouchables,25000000,76270454,76270454
87,11/9/2007,No Country for Old Men,25000000,74273505,164051250
88,4/13/2001,Bridget Jones's Diary,25000000,71500556,281527158
89,12/15/2000,Chocolat,25000000,71309760,152500343
90,1/21/2011,No Strings Attached,25000000,70662220,149228078
91,1/13/2012,Contraband,25000000,66528000,98406855
92,1/27/2017,A Dogâs Purpose,25000000,64321890,204677795
93,4/20/2012,The Lucky One,25000000,60457138,96633833
94,12/25/1993,Tombstone,25000000,56505065,56505065
95,3/22/2000,Romeo Must Die,25000000,55973336,91036760
96,6/6/2006,The Omen,25000000,54607383,119295584
97,2/10/2006,Final Destination 3,25000000,54098051,112798051
98,4/22/2011,Madea's Big Happy Family,25000000,53345287,53345287
99,12/13/2013,Tyler Perry's A Madea Christmas,25000000,52543354,52543354
100,11/12/2004,Finding Neverland,25000000,51676606,115036108
101,1/27/2012,The Grey,25000000,51580136,81249176
102,1/28/2005,Hide and Seek,25000000,51100486,123696741
103,5/23/1986,Cobra,25000000,49042224,49042224
104,8/22/2008,The House Bunny,25000000,48237389,71390601
105,3/14/2003,Agent Cody Banks,25000000,47545060,58240458
106,1/27/2006,Nanny McPhee,25000000,47279279,128745578
107,9/19/1990,Goodfellas,25000000,46743809,46777347
108,8/15/2014,The Giver,25000000,45090374,55090374
109,12/9/1983,Scarface,25000000,44942821,44942821
110,7/18/1997,Nothing To Lose,25000000,44480039,64594061
111,11/20/1987,The Last Emperor,25000000,43984987,44005063
112,11/20/2015,The Night Before,25000000,43035725,52427346
113,10/15/1993,The Beverly Hillbillies,25000000,42222647,55598481
114,12/27/2002,The Hours,25000000,41675994,97030468
115,8/22/1997,Money Talks,25000000,41076865,41076865
116,12/26/2007,There Will Be Blood,25000000,40222514,77208711
117,12/20/2002,The Wild Thornberrys Movie,25000000,40108697,60694737
118,6/13/2003,Rugrats Go Wild,25000000,39402572,55443032
119,6/1/2005,The Sisterhood of the Traveling Pants,25000000,39053061,41560117
120,5/31/2002,Undercover Brother,25000000,38230435,40796145
121,12/25/2013,August: Osage County,25000000,37738810,50738810
122,7/6/2001,Kiss of the Dragon,25000000,36833473,36833473
123,5/16/2014,Million Dollar Arm,25000000,36447959,39217912
124,3/30/2005,Beauty Shop,25000000,36351350,38351350
125,4/4/2003,What a Girl Wants,25000000,35990505,35990505
126,8/29/2003,Jeepers Creepers II,25000000,35623801,119923801
127,9/21/2007,Good Luck Chuck,25000000,35017297,59183821
128,2/28/2003,Cradle 2 the Grave,25000000,34657731,56434942
129,3/17/2006,She's the Man,25000000,33889159,55279608
130,12/10/2014,The Gambler,25000000,33680992,38718031
131,8/24/2007,Mr. Beanâs Holiday,25000000,33302167,234981342
132,4/29/2016,Motherâs Day,25000000,32492859,52380013
133,10/16/1998,Bride of Chucky,25000000,32404188,50692188
134,2/17/2017,Fist Fight,25000000,32187017,40287017
135,11/21/2007,August Rush,25000000,31664162,66015869
136,8/27/2004,Anacondas: The Hunt for the Blood Orchid,25000000,31526393,70326393
137,12/9/2011,The Sitter,25000000,30542576,38749404
138,11/6/1998,Elizabeth,25000000,30082699,82150642
139,9/23/1970,"Tora, Tora, Tora",25000000,29548291,29548291
140,1/23/1998,Spice World,25000000,29342592,56042592
141,4/11/2014,Draft Day,25000000,28842237,29847480
